policy_id,role,parent_statement,policy_statement,primary_category,typology_code,trace_path,validation_trace_csv,validation_lookup_column,validation_lookup_value
040,sub,Strategy 2 (Pillar 4): Enable building and personal vehicle electrification.,"Enable 2,500 new public passenger electric vehicle charging stations by 2035, prioritizing low- and middle-income communities.",Mitigation,,policy_traces/040_Enable_2500_new_public_passenger_electric_vehicle_charging_s.json,trace_initiative_policies_valid.csv,parent_statement,Strategy 2 (Pillar 4): Enable building and personal vehicle electrification.
041,parent,,Strategy 3 (Pillar 4): Align building codes and standards with climate best practices.,Mitigation,M-2,policy_traces/041_Strategy_3_Pillar_4_Align_building_codes_and_standards_with_.json,trace_initiative_policies_valid.csv,parent_statement,Strategy 3 (Pillar 4): Align building codes and standards with climate best practices.
042,sub,Strategy 3 (Pillar 4): Align building codes and standards with climate best practices.,"Strengthen policies that support installation of green roofs and walls, tree planting, and other vegetative cover by 2023.",Adaptation,A-2,policy_traces/042_Strengthen_policies_that_support_installation_of_green_roofs.json,trace_initiative_policies_valid.csv,parent_statement,Strategy 3 (Pillar 4): Align building codes and standards with climate best practices.
043,sub,Strategy 3 (Pillar 4): Align building codes and standards with climate best practices.,Enable net-zero-carbon construction by 2040.,Mitigation,M-1,policy_traces/043_Enable_net_zero_carbon_construction_by_2040.json,trace_initiative_policies_valid.csv,parent_statement,Strategy 3 (Pillar 4): Align building codes and standards with climate best practices.
044,parent,,Strategy 4 (Pillar 4): Decommission fossil power.,Mitigation,,policy_traces/044_Strategy_4_Pillar_4_Decommission_fossil_power.json,trace_initiative_policies_valid.csv,parent_statement,Strategy 4 (Pillar 4): Decommission fossil power.
045,sub,Strategy 4 (Pillar 4): Decommission fossil power.,Develop a fossil-fuel plants transition strategy by 2024.,Mitigation,,policy_traces/045_Develop_a_fossil_fuel_plants_transition_strategy_by_2024.json,trace_initiative_policies_valid.csv,parent_statement,Strategy 4 (Pillar 4): Decommission fossil power.
046,parent,,Strategy 5 (Pillar 4): Enable interconnection and storage.,Mitigation,,policy_traces/046_Strategy_5_Pillar_4_Enable_interconnection_and_storage.json,trace_initiative_policies_valid.csv,parent_statement,Strategy 5 (Pillar 4): Enable interconnection and storage.
047,sub,Strategy 5 (Pillar 4): Enable interconnection and storage.,Ensure 150 megawatts of energy storage by 2025.,Mitigation,M-2,policy_traces/047_Ensure_150_megawatts_of_energy_storage_by_2025.json,trace_initiative_policies_valid.csv,parent_statement,Strategy 5 (Pillar 4): Enable interconnection and storage.
048,sub,Strategy 5 (Pillar 4): Enable interconnection and storage.,"Achieve 1,000 megawatts of new energy demand reduction capacity by 2030 and 3,000 megawatts by 2040.",Mitigation,M-2,policy_traces/048_Achieve_1000_megawatts_of_new_energy_demand_reduction_capaci.json,trace_initiative_policies_valid.csv,parent_statement,Strategy 5 (Pillar 4): Enable interconnection and storage.
049,parent,,Strategy 1 (Pillar 5): Collect relevant data.,Adaptation,A-1,policy_traces/049_Strategy_1_Pillar_5_Collect_relevant_data.json,trace_initiative_policies_valid.csv,parent_statement,Strategy 1 (Pillar 5): Collect relevant data.
050,sub,Strategy 1 (Pillar 5): Collect relevant data.,Report energy burden by community area by 2023.,Resource Efficiency,,policy_traces/050_Report_energy_burden_by_community_area_by_2023.json,trace_initiative_policies_valid.csv,parent_statement,Strategy 1 (Pillar 5): Collect relevant data.
051,sub,Strategy 1 (Pillar 5): Collect relevant data.,Develop a water and soil quality measurement and mitigation strategy by 2023.,Adaptation,A-1,policy_traces/051_Develop_a_water_and_soil_quality_measurement_and_mitigation_.json,trace_initiative_policies_valid.csv,parent_statement,Strategy 1 (Pillar 5): Collect relevant data.
052,sub,Strategy 1 (Pillar 5): Collect relevant data.,Establish a robust outdoor air quality monitoring network by 2025.,Adaptation,A-2,policy_traces/052_Establish_a_robust_outdoor_air_quality_monitoring_network_by.json,trace_initiative_policies_valid.csv,parent_statement,Strategy 1 (Pillar 5): Collect relevant data.
053,parent,,Strategy 2 (Pillar 5): Enable data-driven decision-making.,Adaptation,A-1,policy_traces/053_Strategy_2_Pillar_5_Enable_data_driven_decision_making.json,trace_initiative_policies_valid.csv,parent_statement,Strategy 2 (Pillar 5): Enable data-driven decision-making.
054,sub,Strategy 2 (Pillar 5): Enable data-driven decision-making.,Publish clean energy just transition metrics by 2022.,Mitigation,,policy_traces/054_Publish_clean_energy_just_transition_metrics_by_2022.json,trace_initiative_policies_valid.csv,parent_statement,Strategy 2 (Pillar 5): Enable data-driven decision-making.
055,sub,Strategy 2 (Pillar 5): Enable data-driven decision-making.,Integrate community resilience and climate justice criteria into department-level strategic planning and annual budget setting by 2023.,Adaptation,A-1,policy_traces/055_Integrate_community_resilience_and_climate_justice_criteria_.json,trace_initiative_policies_valid.csv,parent_statement,Strategy 2 (Pillar 5): Enable data-driven decision-making.
056,sub,Strategy 2 (Pillar 5): Enable data-driven decision-making.,"Develop a Heat Vulnerability Index and integrate it into planning and development, community safety, and public health planning processes beginning in 2023.",Adaptation,A-1,policy_traces/056_Develop_a_Heat_Vulnerability_Index_and_integrate_it_into_pla.json,trace_initiative_policies_valid.csv,parent_statement,Strategy 2 (Pillar 5): Enable data-driven decision-making.
057,sub,Strategy 2 (Pillar 5): Enable data-driven decision-making.,"Publish citywide and community-level quality-of-life metrics on equity and sustainability by 2023, and report them every year.",Adaptation,A-1,policy_traces/057_Publish_citywide_and_community_level_quality_of_life_metrics.json,trace_initiative_policies_valid.csv,parent_statement,Strategy 2 (Pillar 5): Enable data-driven decision-making.
058,sub,Strategy 2 (Pillar 5): Enable data-driven decision-making.,Assess and optimize community-level emergency management strategies related to climate preparedness by 2024.,Adaptation,A-1,policy_traces/058_Assess_and_optimize_community_level_emergency_management_str.json,trace_initiative_policies_valid.csv,parent_statement,Strategy 2 (Pillar 5): Enable data-driven decision-making.
059,parent,,Strategy 3 (Pillar 5): Enable community resiliency.,Adaptation,,policy_traces/059_Strategy_3_Pillar_5_Enable_community_resiliency.json,trace_initiative_policies_valid.csv,parent_statement,Strategy 3 (Pillar 5): Enable community resiliency.
060,sub,Strategy 3 (Pillar 5): Enable community resiliency.,Resource community-led climate infrastructure projects by 2022.,Mitigation,M-2,policy_traces/060_Resource_community_led_climate_infrastructure_projects_by_20.json,trace_initiative_policies_valid.csv,parent_statement,Strategy 3 (Pillar 5): Enable community resiliency.
061,sub,Strategy 3 (Pillar 5): Enable community resiliency.,Integrate community resiliency strategies with the City's hazard mitigation planning by 2023.,Adaptation,A-1,policy_traces/061_Integrate_community_resiliency_strategies_with_the_Citys_haz.json,trace_initiative_policies_valid.csv,parent_statement,Strategy 3 (Pillar 5): Enable community resiliency.
062,individual,,City of Chicago aims to reduce city GHG emissions by a minimum of 62% by 2040 (using 2017 inventory levels as baseline).,Mitigation,M-1,policy_traces/062_City_of_Chicago_aims_to_reduce_city_GHG_emissions_by_a_minim.json,trace_individual_policies_valid.csv,policy_statement,City of Chicago aims to reduce city GHG emissions by a minimum of 62% by 2040 (using 2017 inventory levels as baseline).
063,individual,,"Plant 75,000 trees over 5 years (Chicago Recovery Plan climate investment: Expand Canopy Coverage, $46 million).",Adaptation,A-1,policy_traces/063_Plant_75000_trees_over_5_years_Chicago_Recovery_Plan_climate.json,trace_individual_policies_valid.csv,policy_statement,"Plant 75,000 trees over 5 years (Chicago Recovery Plan climate investment: Expand Canopy Coverage, $46 million)."
