policy_id,role,parent_statement,parent_row_type,policy_statement,primary_category,secondary_categories,typology_code,trace_path
015,sub,Approach 2: Expand on-site and off-site renewable energy generation.,structural header,Cut soft costs for installing on-site solar energy.,Mitigation,,,policy_traces/015_Cut_soft_costs_for_installing_on_site_solar_energy.json
016,sub,Approach 2: Expand on-site and off-site renewable energy generation.,structural header,Execute an agreement with the U.S. Department of Energy's National Renewable Energy Laboratory (NREL) to pursue mutually beneficial projects to reduce greenhouse gas emissions.,Mitigation,,,policy_traces/016_Execute_an_agreement_with_the_US_Department_of_Energys_Natio.json
017,parent,,structural header,Approach 3: Build ultra-low energy buildings.,Mitigation,Adaptation,M-2,policy_traces/017_Approach_3_Build_ultra_low_energy_buildings.json
018,sub,Approach 3: Build ultra-low energy buildings.,structural header,Reduce energy use of new buildings 20% by 2030 below 2020 levels.,Mitigation,,,policy_traces/018_Reduce_energy_use_of_new_buildings_20_by_2030_below_2020_lev.json
019,sub,Approach 3: Build ultra-low energy buildings.,structural header,Ensure all new County buildings will be Ultra-Low Energy by 2030.,Mitigation,Resource Efficiency,M-1,policy_traces/019_Ensure_all_new_County_buildings_will_be_Ultra_Low_Energy_by_.json
020,sub,Approach 3: Build ultra-low energy buildings.,structural header,Identify steps to transition to a net-zero ready code.,Mitigation,,,policy_traces/020_Identify_steps_to_transition_to_a_net_zero_ready_code.json
021,sub,Approach 3: Build ultra-low energy buildings.,structural header,Plan for the first Ultra-Low Energy (ULE) or Net Zero Energy (NZE) County building.,Mitigation,,,policy_traces/021_Plan_for_the_first_Ultra_Low_Energy_ULE_or_Net_Zero_Energy_N.json
022,sub,Approach 3: Build ultra-low energy buildings.,structural header,Offer monetary and/or non-monetary incentives to promote construction of ULE or NZE buildings.,Mitigation,Adaptation,M-2,policy_traces/022_Offer_monetary_andor_non_monetary_incentives_to_promote_cons.json
023,sub,Approach 3: Build ultra-low energy buildings.,structural header,Assess embodied carbon in new construction and create policies and programs to reduce it.,Mitigation,Adaptation,M-2,policy_traces/023_Assess_embodied_carbon_in_new_construction_and_create_polici.json
024,parent,,structural header,Approach 4: Reduce transportation-related fuel consumption.,Mitigation,,,policy_traces/024_Approach_4_Reduce_transportation_related_fuel_consumption.json
025,sub,Approach 4: Reduce transportation-related fuel consumption.,structural header,Shift 10% of transportation mode away from single-occupant vehicles by 2030.,Mitigation,Adaptation,M-2,policy_traces/025_Shift_10_of_transportation_mode_away_from_single_occupant_ve.json
026,sub,Approach 4: Reduce transportation-related fuel consumption.,structural header,Electrify the County fleet by 2030: 80% of light vehicles and 50% of buses.,Mitigation,Adaptation,M-2,policy_traces/026_Electrify_the_County_fleet_by_2030_80_of_light_vehicles_and_.json
027,sub,Approach 4: Reduce transportation-related fuel consumption.,structural header,Transition 30% of communitywide vehicles to electric power by 2030.,Mitigation,Adaptation,M-2,policy_traces/027_Transition_30_of_communitywide_vehicles_to_electric_power_by.json
028,sub,Approach 4: Reduce transportation-related fuel consumption.,structural header,Reduce greenhouse gas emissions from Miami International Airport and PortMiami operations by 50% by 2030.,Mitigation,Resource Efficiency,M-1,policy_traces/028_Reduce_greenhouse_gas_emissions_from_Miami_International_Air.json
029,sub,Approach 4: Reduce transportation-related fuel consumption.,structural header,Design an Alternative Workplace Solutions policy and program for Miami-Dade County to maintain and expand employee telecommuting and explore methods to encourage other large employers to implement telecommuting.,Mitigation,Adaptation,M-2,policy_traces/029_Design_an_Alternative_Workplace_Solutions_policy_and_program.json
030,sub,Approach 4: Reduce transportation-related fuel consumption.,structural header,Implement the Miami-Dade 2045 Bicycle/Pedestrian Master Plan.,Mitigation,,,policy_traces/030_Implement_the_Miami_Dade_2045_BicyclePedestrian_Master_Plan.json
031,sub,Approach 4: Reduce transportation-related fuel consumption.,structural header,Implement Complete Streets and Vision Zero pedestrian and cyclist safety programs.,Mitigation,,,policy_traces/031_Implement_Complete_Streets_and_Vision_Zero_pedestrian_and_cy.json
032,sub,Approach 4: Reduce transportation-related fuel consumption.,structural header,Rapidly deploy premium public transit solutions along SMART Plan corridors to increase ridership and mode shift from single occupancy vehicles.,Mitigation,,,policy_traces/032_Rapidly_deploy_premium_public_transit_solutions_along_SMART_.json
033,sub,Approach 4: Reduce transportation-related fuel consumption.,structural header,Complete a light fleet electrification analysis to guide replacement of County-owned fossil-fuel vehicles with battery-electric vehicles.,Mitigation,Nature-Based Solutions,M-3,policy_traces/033_Complete_a_light_fleet_electrification_analysis_to_guide_rep.json
034,sub,Approach 4: Reduce transportation-related fuel consumption.,structural header,Install Visual Guidance Docking System (VGDS) at airports to reduce aircraft idling.,Mitigation,Adaptation,M-2,policy_traces/034_Install_Visual_Guidance_Docking_System_VGDS_at_airports_to_r.json
035,parent,,structural header,Approach 5: Expand and protect green and blue spaces.,Nature-Based Solutions,,,policy_traces/035_Approach_5_Expand_and_protect_green_and_blue_spaces.json
036,sub,Approach 5: Expand and protect green and blue spaces.,structural header,Increase community-wide tree canopy to 30% coverage by 2030.,Adaptation,Nature-Based Solutions,A-1,policy_traces/036_Increase_community_wide_tree_canopy_to_30_coverage_by_2030.json
037,sub,Approach 5: Expand and protect green and blue spaces.,structural header,Ensure all County facilities within the Urban Development Boundary attain at least 30% average canopy coverage and facilities outside the UDB attain at least 50% average canopy coverage by 2030.,Adaptation,Resource Efficiency,A-2,policy_traces/037_Ensure_all_County_facilities_within_the_Urban_Development_Bo.json
038,sub,Approach 5: Expand and protect green and blue spaces.,structural header,Double the total non-wetland acreage of natural habitat in preservation.,Nature-Based Solutions,,,policy_traces/038_Double_the_total_non_wetland_acreage_of_natural_habitat_in_p.json
039,sub,Approach 5: Expand and protect green and blue spaces.,structural header,"Develop a mitigation policy, based on area impacted, to ensure County-approved development results in a net increase to green infrastructure by the development's completion date.",Adaptation,Nature-Based Solutions,A-1,policy_traces/039_Develop_a_mitigation_policy_based_on_area_impacted_to_ensure.json
040,parent,,structural header,Approach 6: Convert waste to energy.,Mitigation,,,policy_traces/040_Approach_6_Convert_waste_to_energy.json
041,sub,Approach 6: Convert waste to energy.,structural header,Generate 48 GWh/year of electricity from cogeneration at wastewater plants by 2030.,Mitigation,,,policy_traces/041_Generate_48_GWhyear_of_electricity_from_cogeneration_at_wast.json
042,sub,Approach 6: Convert waste to energy.,structural header,Convert 50% of non-recycled garbage to energy by 2030.,Mitigation,,,policy_traces/042_Convert_50_of_non_recycled_garbage_to_energy_by_2030.json
043,sub,Approach 6: Convert waste to energy.,structural header,Increase recycling rates by 10% and cut non-recyclables contamination in half.,Mitigation,,,policy_traces/043_Increase_recycling_rates_by_10_and_cut_non_recyclables_conta.json
044,sub,Approach 6: Convert waste to energy.,structural header,"Build a new, more efficient electricity-from-waste facility with onsite solar, designed to charge electric vehicles in the County fleet.",Mitigation,Adaptation,M-2,policy_traces/044_Build_a_new_more_efficient_electricity_from_waste_facility_w.json
045,sub,Approach 6: Convert waste to energy.,structural header,Upgrade cogeneration at wastewater treatment plants to produce 9.6 megawatts of electricity from biogas.,Mitigation,,,policy_traces/045_Upgrade_cogeneration_at_wastewater_treatment_plants_to_produ.json
046,sub,Approach 6: Convert waste to energy.,structural header,Upgrade landfill gas collection at the South Dade Landfill.,Mitigation,Adaptation,M-2,policy_traces/046_Upgrade_landfill_gas_collection_at_the_South_Dade_Landfill.json
047,parent,,structural header,Approach 7: Reduce waste and water use.,Mitigation,Adaptation,M-2,policy_traces/047_Approach_7_Reduce_waste_and_water_use.json
048,sub,Approach 7: Reduce waste and water use.,structural header,Reduce landfill waste per person 50% by 2030.,Mitigation,,,policy_traces/048_Reduce_landfill_waste_per_person_50_by_2030.json
049,sub,Approach 7: Reduce waste and water use.,structural header,Reduce water consumption per person 30% by 2030.,Resource Efficiency,,,policy_traces/049_Reduce_water_consumption_per_person_30_by_2030.json
050,sub,Approach 7: Reduce waste and water use.,structural header,"Create a community-wide food rescue plan in collaboration with community-based organizations, businesses, and farmers.",Mitigation,,,policy_traces/050_Create_a_community_wide_food_rescue_plan_in_collaboration_wi.json
051,sub,Approach 7: Reduce waste and water use.,structural header,Complete a Countywide solid waste characterization study and complete regular updates.,Mitigation,,,policy_traces/051_Complete_a_Countywide_solid_waste_characterization_study_and.json
052,sub,Approach 7: Reduce waste and water use.,structural header,Require waste reduction plans for all large events.,Mitigation,,,policy_traces/052_Require_waste_reduction_plans_for_all_large_events.json
053,individual,,,"Implement the Climate Action Strategy (CAS) to cut Miami-Dade communitywide greenhouse gas emissions 50% by 2030 from 2019 levels, with the goal of achieving net zero by 2050.",Mitigation,Resource Efficiency,M-1,policy_traces/053_Implement_the_Climate_Action_Strategy_CAS_to_cut_Miami_Dade_.json
