policy_id,role,parent_statement,policy_statement,primary_category,typology_code,trace_path,validation_trace_csv,validation_lookup_column,validation_lookup_value
010,sub,"Adaptation Plans to enhance the resilience of the Fisheries and Marine Sector set out short-, medium-, and long-term actions to increase resilience of marine ecosystems and fisheries to climate change.",Develop medium-term initiatives to conserve marine biodiversity in a rapidly changing climate.,Adaptation,A-2,policy_traces/010_Develop_medium_term_initiatives_to_conserve_marine_biodivers.json,trace_initiative_policies_valid.csv,parent_statement,"Adaptation Plans to enhance the resilience of the Fisheries and Marine Sector set out short-, medium-, and long-term actions to increase resilience of marine ecosystems and fisheries to climate change."
011,sub,"Adaptation Plans to enhance the resilience of the Fisheries and Marine Sector set out short-, medium-, and long-term actions to increase resilience of marine ecosystems and fisheries to climate change.",Prepare marine ecosystem-based adaptation strategy measures in areas at risk of climate change impacts.,Adaptation,A-2,policy_traces/011_Prepare_marine_ecosystem_based_adaptation_strategy_measures_.json,trace_initiative_policies_valid.csv,parent_statement,"Adaptation Plans to enhance the resilience of the Fisheries and Marine Sector set out short-, medium-, and long-term actions to increase resilience of marine ecosystems and fisheries to climate change."
012,sub,"Adaptation Plans to enhance the resilience of the Fisheries and Marine Sector set out short-, medium-, and long-term actions to increase resilience of marine ecosystems and fisheries to climate change.",Develop adaptive management for rapidly changing marine regimes under climate change.,Adaptation,A-2,policy_traces/012_Develop_adaptive_management_for_rapidly_changing_marine_regi.json,trace_initiative_policies_valid.csv,parent_statement,"Adaptation Plans to enhance the resilience of the Fisheries and Marine Sector set out short-, medium-, and long-term actions to increase resilience of marine ecosystems and fisheries to climate change."
013,sub,"Adaptation Plans to enhance the resilience of the Fisheries and Marine Sector set out short-, medium-, and long-term actions to increase resilience of marine ecosystems and fisheries to climate change.",Develop prediction capacity to anticipate future climate change consequences and threatened marine ecosystems.,Adaptation,A-2,policy_traces/013_Develop_prediction_capacity_to_anticipate_future_climate_cha.json,trace_initiative_policies_valid.csv,parent_statement,"Adaptation Plans to enhance the resilience of the Fisheries and Marine Sector set out short-, medium-, and long-term actions to increase resilience of marine ecosystems and fisheries to climate change."
014,sub,"Adaptation Plans to enhance the resilience of the Fisheries and Marine Sector set out short-, medium-, and long-term actions to increase resilience of marine ecosystems and fisheries to climate change.",Develop monitoring capacity to prevent overfishing.,Adaptation,A-2,policy_traces/014_Develop_monitoring_capacity_to_prevent_overfishing.json,trace_initiative_policies_valid.csv,parent_statement,"Adaptation Plans to enhance the resilience of the Fisheries and Marine Sector set out short-, medium-, and long-term actions to increase resilience of marine ecosystems and fisheries to climate change."
015,sub,"Adaptation Plans to enhance the resilience of the Fisheries and Marine Sector set out short-, medium-, and long-term actions to increase resilience of marine ecosystems and fisheries to climate change.","Model climate change impacts on marine life and fisheries for policymaking on conservation, recovery, and sustainable use.",Adaptation,A-2,policy_traces/015_Model_climate_change_impacts_on_marine_life_and_fisheries_fo.json,trace_initiative_policies_valid.csv,parent_statement,"Adaptation Plans to enhance the resilience of the Fisheries and Marine Sector set out short-, medium-, and long-term actions to increase resilience of marine ecosystems and fisheries to climate change."
016,sub,"Adaptation Plans to enhance the resilience of the Fisheries and Marine Sector set out short-, medium-, and long-term actions to increase resilience of marine ecosystems and fisheries to climate change.",Develop a crisis plan and management system to confront climate change effects on fisheries and marine ecosystems.,Adaptation,A-2,policy_traces/016_Develop_a_crisis_plan_and_management_system_to_confront_clim.json,trace_initiative_policies_valid.csv,parent_statement,"Adaptation Plans to enhance the resilience of the Fisheries and Marine Sector set out short-, medium-, and long-term actions to increase resilience of marine ecosystems and fisheries to climate change."
017,parent,,"Adaptation Plans to enhance the resilience of the Water Resources set out short-, medium-, and long-term actions to improve resilience of water supply and management systems.",Adaptation,A-3,policy_traces/017_Adaptation_Plans_to_enhance_the_resilience_of_the_Water_Reso.json,trace_initiative_policies_valid.csv,parent_statement,"Adaptation Plans to enhance the resilience of the Water Resources set out short-, medium-, and long-term actions to improve resilience of water supply and management systems."
018,sub,"Adaptation Plans to enhance the resilience of the Water Resources set out short-, medium-, and long-term actions to improve resilience of water supply and management systems.",Raise awareness of climate change effects on water resources in the country.,Adaptation,,policy_traces/018_Raise_awareness_of_climate_change_effects_on_water_resources.json,trace_initiative_policies_valid.csv,parent_statement,"Adaptation Plans to enhance the resilience of the Water Resources set out short-, medium-, and long-term actions to improve resilience of water supply and management systems."
019,sub,"Adaptation Plans to enhance the resilience of the Water Resources set out short-, medium-, and long-term actions to improve resilience of water supply and management systems.",Utilize water conservation technologies.,Resource Efficiency,RE-2,policy_traces/019_Utilize_water_conservation_technologies.json,trace_initiative_policies_valid.csv,parent_statement,"Adaptation Plans to enhance the resilience of the Water Resources set out short-, medium-, and long-term actions to improve resilience of water supply and management systems."
020,sub,"Adaptation Plans to enhance the resilience of the Water Resources set out short-, medium-, and long-term actions to improve resilience of water supply and management systems.",Develop risk assessment on depletion of water resources under climate change conditions in Kuwait.,Adaptation,A-2,policy_traces/020_Develop_risk_assessment_on_depletion_of_water_resources_unde.json,trace_initiative_policies_valid.csv,parent_statement,"Adaptation Plans to enhance the resilience of the Water Resources set out short-, medium-, and long-term actions to improve resilience of water supply and management systems."
021,sub,"Adaptation Plans to enhance the resilience of the Water Resources set out short-, medium-, and long-term actions to improve resilience of water supply and management systems.",Incorporate climate adaptation measures into actions carried out by the Ministry of Electricity and Water.,Adaptation,A-1,policy_traces/021_Incorporate_climate_adaptation_measures_into_actions_carried.json,trace_initiative_policies_valid.csv,parent_statement,"Adaptation Plans to enhance the resilience of the Water Resources set out short-, medium-, and long-term actions to improve resilience of water supply and management systems."
022,sub,"Adaptation Plans to enhance the resilience of the Water Resources set out short-, medium-, and long-term actions to improve resilience of water supply and management systems.",Invest in high-end and accurate programs to provide information about water levels based on hydraulic models.,Adaptation,A-1,policy_traces/022_Invest_in_high_end_and_accurate_programs_to_provide_informat.json,trace_initiative_policies_valid.csv,parent_statement,"Adaptation Plans to enhance the resilience of the Water Resources set out short-, medium-, and long-term actions to improve resilience of water supply and management systems."
023,sub,"Adaptation Plans to enhance the resilience of the Water Resources set out short-, medium-, and long-term actions to improve resilience of water supply and management systems.",Control water prices so water consumption is fair and reasonable by all consumers.,Resource Efficiency,RE-2,policy_traces/023_Control_water_prices_so_water_consumption_is_fair_and_reason.json,trace_initiative_policies_valid.csv,parent_statement,"Adaptation Plans to enhance the resilience of the Water Resources set out short-, medium-, and long-term actions to improve resilience of water supply and management systems."
024,sub,"Adaptation Plans to enhance the resilience of the Water Resources set out short-, medium-, and long-term actions to improve resilience of water supply and management systems.",Increase water block tariffs to control unnecessary water consumption.,Resource Efficiency,RE-1,policy_traces/024_Increase_water_block_tariffs_to_control_unnecessary_water_co.json,trace_initiative_policies_valid.csv,parent_statement,"Adaptation Plans to enhance the resilience of the Water Resources set out short-, medium-, and long-term actions to improve resilience of water supply and management systems."
025,sub,"Adaptation Plans to enhance the resilience of the Water Resources set out short-, medium-, and long-term actions to improve resilience of water supply and management systems.",Utilize technologies to reduce water consumption.,Resource Efficiency,RE-2,policy_traces/025_Utilize_technologies_to_reduce_water_consumption.json,trace_initiative_policies_valid.csv,parent_statement,"Adaptation Plans to enhance the resilience of the Water Resources set out short-, medium-, and long-term actions to improve resilience of water supply and management systems."
026,sub,"Adaptation Plans to enhance the resilience of the Water Resources set out short-, medium-, and long-term actions to improve resilience of water supply and management systems.",Adopt efficient irrigation methods to reduce water losses.,Resource Efficiency,RE-2,policy_traces/026_Adopt_efficient_irrigation_methods_to_reduce_water_losses.json,trace_initiative_policies_valid.csv,parent_statement,"Adaptation Plans to enhance the resilience of the Water Resources set out short-, medium-, and long-term actions to improve resilience of water supply and management systems."
027,sub,"Adaptation Plans to enhance the resilience of the Water Resources set out short-, medium-, and long-term actions to improve resilience of water supply and management systems.","Improve irrigation systems through biodiverse planting, hydro-zoning, and PO irrigation to conserve water more sustainably.",Resource Efficiency,RE-2,policy_traces/027_Improve_irrigation_systems_through_biodiverse_planting_hydro.json,trace_initiative_policies_valid.csv,parent_statement,"Adaptation Plans to enhance the resilience of the Water Resources set out short-, medium-, and long-term actions to improve resilience of water supply and management systems."
028,sub,"Adaptation Plans to enhance the resilience of the Water Resources set out short-, medium-, and long-term actions to improve resilience of water supply and management systems.",Design effective policies to preserve and protect water resources.,Adaptation,A-2,policy_traces/028_Design_effective_policies_to_preserve_and_protect_water_reso.json,trace_initiative_policies_valid.csv,parent_statement,"Adaptation Plans to enhance the resilience of the Water Resources set out short-, medium-, and long-term actions to improve resilience of water supply and management systems."
029,sub,"Adaptation Plans to enhance the resilience of the Water Resources set out short-, medium-, and long-term actions to improve resilience of water supply and management systems.",Support research and development to model climate change impacts on water resources.,Adaptation,A-3,policy_traces/029_Support_research_and_development_to_model_climate_change_imp.json,trace_initiative_policies_valid.csv,parent_statement,"Adaptation Plans to enhance the resilience of the Water Resources set out short-, medium-, and long-term actions to improve resilience of water supply and management systems."
030,sub,"Adaptation Plans to enhance the resilience of the Water Resources set out short-, medium-, and long-term actions to improve resilience of water supply and management systems.","Use more environmentally sustainable water treatment methods such as reverse osmosis, which has lower net energy consumption than other methods.",Mitigation,M-2,policy_traces/030_Use_more_environmentally_sustainable_water_treatment_methods.json,trace_initiative_policies_valid.csv,parent_statement,"Adaptation Plans to enhance the resilience of the Water Resources set out short-, medium-, and long-term actions to improve resilience of water supply and management systems."
031,sub,"Adaptation Plans to enhance the resilience of the Water Resources set out short-, medium-, and long-term actions to improve resilience of water supply and management systems.",Invest in installation of water-efficient devices in homes to better regulate and limit water consumption.,Resource Efficiency,RE-2,policy_traces/031_Invest_in_installation_of_water_efficient_devices_in_homes_t.json,trace_initiative_policies_valid.csv,parent_statement,"Adaptation Plans to enhance the resilience of the Water Resources set out short-, medium-, and long-term actions to improve resilience of water supply and management systems."
032,sub,"Adaptation Plans to enhance the resilience of the Water Resources set out short-, medium-, and long-term actions to improve resilience of water supply and management systems.",Develop integrated climatic and hydrological models and assess climate change impacts on water resources management.,Adaptation,A-1,policy_traces/032_Develop_integrated_climatic_and_hydrological_models_and_asse.json,trace_initiative_policies_valid.csv,parent_statement,"Adaptation Plans to enhance the resilience of the Water Resources set out short-, medium-, and long-term actions to improve resilience of water supply and management systems."
033,parent,,"Adaptation Plans to enhance the resilience of the Coastal Zone set out short-, medium-, and long-term actions to address sea-level rise risks in Kuwait's coastal areas.",Adaptation,A-3,policy_traces/033_Adaptation_Plans_to_enhance_the_resilience_of_the_Coastal_Zo.json,trace_initiative_policies_valid.csv,parent_statement,"Adaptation Plans to enhance the resilience of the Coastal Zone set out short-, medium-, and long-term actions to address sea-level rise risks in Kuwait's coastal areas."
034,sub,"Adaptation Plans to enhance the resilience of the Coastal Zone set out short-, medium-, and long-term actions to address sea-level rise risks in Kuwait's coastal areas.",Develop vulnerability and risk assessment reports for coastal zones.,Adaptation,,policy_traces/034_Develop_vulnerability_and_risk_assessment_reports_for_coasta.json,trace_initiative_policies_valid.csv,parent_statement,"Adaptation Plans to enhance the resilience of the Coastal Zone set out short-, medium-, and long-term actions to address sea-level rise risks in Kuwait's coastal areas."
035,sub,"Adaptation Plans to enhance the resilience of the Coastal Zone set out short-, medium-, and long-term actions to address sea-level rise risks in Kuwait's coastal areas.",Provide open access information and communication networks for responsible coastal parties and sectors.,Adaptation,A-3,policy_traces/035_Provide_open_access_information_and_communication_networks_f.json,trace_initiative_policies_valid.csv,parent_statement,"Adaptation Plans to enhance the resilience of the Coastal Zone set out short-, medium-, and long-term actions to address sea-level rise risks in Kuwait's coastal areas."
036,sub,"Adaptation Plans to enhance the resilience of the Coastal Zone set out short-, medium-, and long-term actions to address sea-level rise risks in Kuwait's coastal areas.",Build capacity of government and non-government stakeholders for deployment of coastal adaptation activities.,Adaptation,A-1,policy_traces/036_Build_capacity_of_government_and_non_government_stakeholders.json,trace_initiative_policies_valid.csv,parent_statement,"Adaptation Plans to enhance the resilience of the Coastal Zone set out short-, medium-, and long-term actions to address sea-level rise risks in Kuwait's coastal areas."
037,sub,"Adaptation Plans to enhance the resilience of the Coastal Zone set out short-, medium-, and long-term actions to address sea-level rise risks in Kuwait's coastal areas.",Increase decision-maker awareness of sea-level rise risks and damage to nearby urban areas.,Adaptation,A-2,policy_traces/037_Increase_decision_maker_awareness_of_sea_level_rise_risks_an.json,trace_initiative_policies_valid.csv,parent_statement,"Adaptation Plans to enhance the resilience of the Coastal Zone set out short-, medium-, and long-term actions to address sea-level rise risks in Kuwait's coastal areas."
038,sub,"Adaptation Plans to enhance the resilience of the Coastal Zone set out short-, medium-, and long-term actions to address sea-level rise risks in Kuwait's coastal areas.",Review existing coastal projects and update them based on Second National Communication and NAP findings.,Adaptation,A-1,policy_traces/038_Review_existing_coastal_projects_and_update_them_based_on_Se.json,trace_initiative_policies_valid.csv,parent_statement,"Adaptation Plans to enhance the resilience of the Coastal Zone set out short-, medium-, and long-term actions to address sea-level rise risks in Kuwait's coastal areas."
039,sub,"Adaptation Plans to enhance the resilience of the Coastal Zone set out short-, medium-, and long-term actions to address sea-level rise risks in Kuwait's coastal areas.",Provide financial aid for preventative and protective actions for coastal damage.,Adaptation,A-2,policy_traces/039_Provide_financial_aid_for_preventative_and_protective_action.json,trace_initiative_policies_valid.csv,parent_statement,"Adaptation Plans to enhance the resilience of the Coastal Zone set out short-, medium-, and long-term actions to address sea-level rise risks in Kuwait's coastal areas."
040,sub,"Adaptation Plans to enhance the resilience of the Coastal Zone set out short-, medium-, and long-term actions to address sea-level rise risks in Kuwait's coastal areas.","Ensure required resources are available for coastal construction, research, and communication projects and initiatives.",Adaptation,,policy_traces/040_Ensure_required_resources_are_available_for_coastal_construc.json,trace_initiative_policies_valid.csv,parent_statement,"Adaptation Plans to enhance the resilience of the Coastal Zone set out short-, medium-, and long-term actions to address sea-level rise risks in Kuwait's coastal areas."
041,sub,"Adaptation Plans to enhance the resilience of the Coastal Zone set out short-, medium-, and long-term actions to address sea-level rise risks in Kuwait's coastal areas.",Raise awareness among decision-makers to incorporate sea-level rise scenarios into development plans.,Adaptation,A-2,policy_traces/041_Raise_awareness_among_decision_makers_to_incorporate_sea_lev.json,trace_initiative_policies_valid.csv,parent_statement,"Adaptation Plans to enhance the resilience of the Coastal Zone set out short-, medium-, and long-term actions to address sea-level rise risks in Kuwait's coastal areas."
042,sub,"Adaptation Plans to enhance the resilience of the Coastal Zone set out short-, medium-, and long-term actions to address sea-level rise risks in Kuwait's coastal areas.",Legislate laws restricting negative anthropogenic activities in coastal zones to maintain coastal wildlife.,Nature-Based Solutions,NBS-1,policy_traces/042_Legislate_laws_restricting_negative_anthropogenic_activities.json,trace_initiative_policies_valid.csv,parent_statement,"Adaptation Plans to enhance the resilience of the Coastal Zone set out short-, medium-, and long-term actions to address sea-level rise risks in Kuwait's coastal areas."
043,sub,"Adaptation Plans to enhance the resilience of the Coastal Zone set out short-, medium-, and long-term actions to address sea-level rise risks in Kuwait's coastal areas.",Establish a specialized center for coastal management with information and tools for climate risk modeling and qualified response generation.,Adaptation,A-2,policy_traces/043_Establish_a_specialized_center_for_coastal_management_with_i.json,trace_initiative_policies_valid.csv,parent_statement,"Adaptation Plans to enhance the resilience of the Coastal Zone set out short-, medium-, and long-term actions to address sea-level rise risks in Kuwait's coastal areas."
044,sub,"Adaptation Plans to enhance the resilience of the Coastal Zone set out short-, medium-, and long-term actions to address sea-level rise risks in Kuwait's coastal areas.",Protect coastlines from sea-level rise by constructing protection barriers.,Adaptation,A-2,policy_traces/044_Protect_coastlines_from_sea_level_rise_by_constructing_prote.json,trace_initiative_policies_valid.csv,parent_statement,"Adaptation Plans to enhance the resilience of the Coastal Zone set out short-, medium-, and long-term actions to address sea-level rise risks in Kuwait's coastal areas."
045,sub,"Adaptation Plans to enhance the resilience of the Coastal Zone set out short-, medium-, and long-term actions to address sea-level rise risks in Kuwait's coastal areas.",Develop stronger laws and policies for coastline protection and conservation.,Nature-Based Solutions,NBS-1,policy_traces/045_Develop_stronger_laws_and_policies_for_coastline_protection_.json,trace_initiative_policies_valid.csv,parent_statement,"Adaptation Plans to enhance the resilience of the Coastal Zone set out short-, medium-, and long-term actions to address sea-level rise risks in Kuwait's coastal areas."
046,sub,"Adaptation Plans to enhance the resilience of the Coastal Zone set out short-, medium-, and long-term actions to address sea-level rise risks in Kuwait's coastal areas.",Require future high-risk coastal construction projects to be designed to withstand future sea-level rise scenarios.,Adaptation,A-2,policy_traces/046_Require_future_high_risk_coastal_construction_projects_to_be.json,trace_initiative_policies_valid.csv,parent_statement,"Adaptation Plans to enhance the resilience of the Coastal Zone set out short-, medium-, and long-term actions to address sea-level rise risks in Kuwait's coastal areas."
047,parent,,"Adaptation Plans to enhance the resilience of the Human Health Sector set out short-, medium-, and long-term actions to build the health sector’s capacity for increased climate-related health risks.",Adaptation,A-2,policy_traces/047_Adaptation_Plans_to_enhance_the_resilience_of_the_Human_Heal.json,trace_initiative_policies_valid.csv,parent_statement,"Adaptation Plans to enhance the resilience of the Human Health Sector set out short-, medium-, and long-term actions to build the health sector’s capacity for increased climate-related health risks."
048,sub,"Adaptation Plans to enhance the resilience of the Human Health Sector set out short-, medium-, and long-term actions to build the health sector’s capacity for increased climate-related health risks.",Increase public awareness of climate change effects and impacts on general health.,Adaptation,A-3,policy_traces/048_Increase_public_awareness_of_climate_change_effects_and_impa.json,trace_initiative_policies_valid.csv,parent_statement,"Adaptation Plans to enhance the resilience of the Human Health Sector set out short-, medium-, and long-term actions to build the health sector’s capacity for increased climate-related health risks."
049,sub,"Adaptation Plans to enhance the resilience of the Human Health Sector set out short-, medium-, and long-term actions to build the health sector’s capacity for increased climate-related health risks.",Conduct climate change risk and vulnerability assessments on the general public.,Adaptation,,policy_traces/049_Conduct_climate_change_risk_and_vulnerability_assessments_on.json,trace_initiative_policies_valid.csv,parent_statement,"Adaptation Plans to enhance the resilience of the Human Health Sector set out short-, medium-, and long-term actions to build the health sector’s capacity for increased climate-related health risks."
050,sub,"Adaptation Plans to enhance the resilience of the Human Health Sector set out short-, medium-, and long-term actions to build the health sector’s capacity for increased climate-related health risks.",Involve the media in communicating health issues and climate change impacts to the public.,Adaptation,A-3,policy_traces/050_Involve_the_media_in_communicating_health_issues_and_climate.json,trace_initiative_policies_valid.csv,parent_statement,"Adaptation Plans to enhance the resilience of the Human Health Sector set out short-, medium-, and long-term actions to build the health sector’s capacity for increased climate-related health risks."
051,sub,"Adaptation Plans to enhance the resilience of the Human Health Sector set out short-, medium-, and long-term actions to build the health sector’s capacity for increased climate-related health risks.","Adjust official working hours to avoid working during maximum daytime temperatures, including studying and issuing a new threshold.",Adaptation,A-1,policy_traces/051_Adjust_official_working_hours_to_avoid_working_during_maximu.json,trace_initiative_policies_valid.csv,parent_statement,"Adaptation Plans to enhance the resilience of the Human Health Sector set out short-, medium-, and long-term actions to build the health sector’s capacity for increased climate-related health risks."
052,sub,"Adaptation Plans to enhance the resilience of the Human Health Sector set out short-, medium-, and long-term actions to build the health sector’s capacity for increased climate-related health risks.",Raise awareness of how to respond to dust and heat wave events.,Adaptation,A-3,policy_traces/052_Raise_awareness_of_how_to_respond_to_dust_and_heat_wave_even.json,trace_initiative_policies_valid.csv,parent_statement,"Adaptation Plans to enhance the resilience of the Human Health Sector set out short-, medium-, and long-term actions to build the health sector’s capacity for increased climate-related health risks."
053,sub,"Adaptation Plans to enhance the resilience of the Human Health Sector set out short-, medium-, and long-term actions to build the health sector’s capacity for increased climate-related health risks.",Establish national health alerts for dust storms and heat waves.,Adaptation,A-2,policy_traces/053_Establish_national_health_alerts_for_dust_storms_and_heat_wa.json,trace_initiative_policies_valid.csv,parent_statement,"Adaptation Plans to enhance the resilience of the Human Health Sector set out short-, medium-, and long-term actions to build the health sector’s capacity for increased climate-related health risks."
054,sub,"Adaptation Plans to enhance the resilience of the Human Health Sector set out short-, medium-, and long-term actions to build the health sector’s capacity for increased climate-related health risks.",Develop warning systems for extreme weather conditions combined with a communication strategy for alerts.,Adaptation,A-3,policy_traces/054_Develop_warning_systems_for_extreme_weather_conditions_combi.json,trace_initiative_policies_valid.csv,parent_statement,"Adaptation Plans to enhance the resilience of the Human Health Sector set out short-, medium-, and long-term actions to build the health sector’s capacity for increased climate-related health risks."
055,sub,"Adaptation Plans to enhance the resilience of the Human Health Sector set out short-, medium-, and long-term actions to build the health sector’s capacity for increased climate-related health risks.",Increase drought-proof vegetation to reduce dust fallout from dust storms.,Adaptation,,policy_traces/055_Increase_drought_proof_vegetation_to_reduce_dust_fallout_fro.json,trace_initiative_policies_valid.csv,parent_statement,"Adaptation Plans to enhance the resilience of the Human Health Sector set out short-, medium-, and long-term actions to build the health sector’s capacity for increased climate-related health risks."
056,sub,"Adaptation Plans to enhance the resilience of the Human Health Sector set out short-, medium-, and long-term actions to build the health sector’s capacity for increased climate-related health risks.",Include information and instructions about climate change effects on health in the early education curriculum.,Adaptation,A-3,policy_traces/056_Include_information_and_instructions_about_climate_change_ef.json,trace_initiative_policies_valid.csv,parent_statement,"Adaptation Plans to enhance the resilience of the Human Health Sector set out short-, medium-, and long-term actions to build the health sector’s capacity for increased climate-related health risks."
057,sub,"Adaptation Plans to enhance the resilience of the Human Health Sector set out short-, medium-, and long-term actions to build the health sector’s capacity for increased climate-related health risks.",Establish a research and monitoring network on climate and health focused on analyzing expected climate change impacts on health.,Adaptation,A-2,policy_traces/057_Establish_a_research_and_monitoring_network_on_climate_and_h.json,trace_initiative_policies_valid.csv,parent_statement,"Adaptation Plans to enhance the resilience of the Human Health Sector set out short-, medium-, and long-term actions to build the health sector’s capacity for increased climate-related health risks."
058,individual,,"Kuwait is implementing green belt and protected area expansion projects, including the Kuwait Green Wall Project, to reduce dust storm impacts by planting trees and shrubs along the border.",Nature-Based Solutions,NBS-1,policy_traces/058_Kuwait_is_implementing_green_belt_and_protected_area_expansi.json,trace_individual_policies_valid.csv,policy_statement,"Kuwait is implementing green belt and protected area expansion projects, including the Kuwait Green Wall Project, to reduce dust storm impacts by planting trees and shrubs along the border."
