City,Policy Name,Policy Details,Classification,Confidence,Extraction Reasoning,Classification Reasoning
Miami-Dade,Landscape Re‑certification Requirement Near Canals,“Require landscape re‑certification every five years for maintenance of landscaping within 300 feet of a canal feature that flows into Biscayne Bay.”,Environmental and Resources,high,"The five‑year landscape re‑certification requirement is a specific regulatory instrument tied to canal features and water quality, a discrete procedural policy to reduce runoff and pollutant inputs that affect coastal ecosystems.","This requirement targets vegetation and maintenance practices adjacent to canals that flow into Biscayne Bay to reduce runoff, pollution, and protect water quality and habitats, so its primary aim is environmental/resource protection. It is a distinct policy from governance or infrastructure measures because the main action is recurring landscape management and ecological safeguarding (land use/water quality), not broader institutional reform, construction standards, or social/economic programs."
Miami-Dade,Transfer and Manage Environmentally Endangered/Natural Forest Communities via EEL,"“Improve protection and management of Miami‑Dade County properties that qualify as environmentally endangered, or as natural forest community, by transferring appropriate areas/land to the Environmentally Endangered Lands Program (EEL).” “Protect and manage Miami‑Dade County properties that qualify as environmentally endangered… by transferring appropriate areas/land to the Environmentally Endangered Lands Program (EEL).”",Environmental and Resources,high,Transferring eligible lands to the EEL program and managing natural forest communities is an administrative/land‑management policy distinct from acquisition or canopy planting — it changes ownership/management to provide long‑term protection.,"This policy is focused on identifying, transferring, protecting, and managing parcels of land that qualify as environmentally endangered or natural forest communities by placing them into the Environmentally Endangered Lands (EEL) program. It is distinct from governance/regulatory or infrastructure policies because its primary action is ecosystem conservation and land management (not building standards, emergency systems, or economic incentives), and distinct from social programs because the main beneficiary is natural habitat and biodiversity rather than a human population."
Miami-Dade,Prioritize Tree Planting in High‑Heat / High Energy‑Burden Neighborhoods,"“Prioritize County planting of trees in neighborhoods with the highest heat or highest utility burden. Community Recommendation” “To decrease dangerously high playground surface temperatures in Miami‑Dade County parks, the Growing Green Playgrounds program plants shade trees for the safety and well‑being of children and all residents and visitors.”",Environmental and Resources,high,Prioritizing tree planting by neighborhood heat/utility burden ties climate justice and targeted cooling interventions together; this is an equity‑focused adaptation prioritization distinct from blanket canopy goals.,"This policy's primary intervention is urban forestry — planting shade trees to reduce surface and ambient temperatures and lower utility burdens — which is an environmental/green infrastructure action focused on ecosystem-based heat mitigation. It has equity co-benefits (prioritizing high‑burden neighborhoods) but is distinct from governance or housing policies because its core mechanism is managing natural resources/urban canopy rather than regulatory, economic, or housing interventions."
Miami-Dade,Develop Methodologies to Assess and Report Ecosystem Acreage and Functional Quality,"“Develop methodologies to assess, track, and regularly report on changes to the amount of acreage and functional quality per ecosystem type in Miami‑Dade County, in order to determine successful habitat protection strategies and to more accurately calculate carbon sequestration and storage”",Environmental and Resources,high,"The document directs developing methodologies to assess acreage and functional quality of ecosystems. This is an explicit monitoring and reporting policy to guide adaptation decisions and measure outcomes, distinct from on‑the‑ground restoration.","This policy creates standardized methods to measure and track ecosystem extent and functional quality so Miami‑Dade can evaluate habitat protection success and improve carbon sequestration estimates. It is distinct from restoration, land‑use or funding policies because its primary action is ecological assessment and monitoring (data/metrics), not implementation or regulation. Those data will support and inform other policies (e.g., conservation planning, carbon accounting), which is why it stands alone."
Miami-Dade,Establish Science‑Based Pollutant Load Reduction Goals and BMPs for SAV Recovery,"“Developing Best Management Practices (BMP’s) to reduce pollutant loads to levels that promote SAV recovery.” “Establishing science‑based, pollutant load reduction goals and interim targets to improve water quality and codify these limits in Chapter 24.”",Environmental and Resources,high,Establishing pollutant load reduction goals and BMPs to promote SAV recovery is a targeted water‑quality policy to enable ecosystem resilience; it is a regulatory/scientific approach distinct from planting or land acquisition.,"This policy specifically targets water quality and ecosystem recovery by setting science‑based pollutant load reduction goals and developing BMPs to restore submerged aquatic vegetation (SAV). While it includes codifying limits in Chapter 24, its primary action is pollution control and ecosystem management rather than infrastructure, economic incentives, social programs, or broad governance reform, so it is best classified as an environmental/resources policy."
Miami-Dade,Implement Open Space Master Plan and Use County Open Space for Planting,“Implement the Open Space Master Plan.” “Identify which County facilities have 20% or greater open space and determine which open space/bare ground areas at these facilities are not critical to facility function and can be used to plant trees.”,Environmental and Resources,high,Implementing the Open Space Master Plan and using County open space for planting is an operational land‑use policy that enables many of the planting and greening measures; it is distinct because it is about spatial planning and land allocation.,"This policy directs implementation of an Open Space Master Plan and the active use of county open/bare ground for tree planting, so its primary aim is managing land, increasing urban canopy, and enhancing natural ecosystems. It is classified separately from infrastructure, social, or governance policies because the main action is ecological — land use change and ecosystem enhancement — rather than building standards, service delivery, or regulatory reform."
Hiroshima,Citywide climate awareness and education program,"1) Creating an environment to promote understanding of climate change and its effect Promote the creation of an environment for more accurate understanding of climate change and its effect. ◇ Main measures
- New Publicity and education using the city’s PR magazine “Hiroshima Citizens and Municipal Government” and the city website,
- New Preparation of sub-readings available for school education,
- New Delivery lecture by the city and Hiroshima City Global Warming Countermeasure Regional Council, etc.",Social and Equity,high,"Citywide climate awareness and education program — separated because the document lists publicity, school sub-readings, lectures and other communication measures as a distinct set of adaptation actions focused on improving understanding and behavior rather than infrastructure or technical measures.","This policy is primarily an education and public engagement initiative designed to raise awareness of climate change through magazines, websites, school materials, and lectures. It differs from infrastructure, regulatory, or economic policies because its core action is information dissemination and community education rather than building, regulating, or financing climate responses, so it is classified separately as a social/awareness measure."
Hiroshima,Short‑term heavy‑rain disaster prevention and information system,"【Measures against increase of heavy rain in short time】 - City renovation for disaster prevention, construction of disaster information sharing system, enhancement of disaster information delivery system",Governance and Policy,high,"Short‑term heavy‑rain disaster prevention and information system — separated because the city specifically designates physical renovation for disaster prevention plus disaster information sharing and delivery systems to address heavy short‑duration rainfall, a clearly distinct adaptation measure.","This policy centers on establishing disaster prevention planning and an information‑sharing/delivery system for short‑term heavy rainfall events, i.e., institutional emergency management and communication capacity rather than purely physical works or ecosystem measures. Although it references city renovation and construction, its primary action is building coordinated information systems and delivery protocols for disaster response, so it is distinct from purely infrastructure, environmental, or social support policies."
Hiroshima,Heat‑health preparedness and heat‑disorder prevention,"【Measures against the effect of climate change on health due to the temperature rises, etc.】 - Publicity on heat disorder, information provision of heat disorder prevention",Social and Equity,high,Heat‑health preparedness and heat‑disorder prevention — separated because the measures target public health (heat disorder) with information and prevention actions distinct from infrastructure or greening measures.,"This policy is aimed at preventing heat-related illness through public-health measures (publicity and information provision) and protecting vulnerable groups during temperature rises, so its primary focus is health, community awareness, and equity in access to protective information. It is distinct from infrastructure, environmental resource management, or economic incentives because the main action is behavioral/public‑health outreach and preparedness rather than physical works, regulation, or market instruments."
Hiroshima,Urban greening and heat‑island countermeasures (water and green network),"【Countermeasures against heat (heat island phenomenon, etc.)】 - Creation of water and green network by the conservation and creation of public open space such as rivers and roads through which the wind passes; promotion of greenery increase on roof and walls of buildings (including those by the green promotion system).",Environmental and Resources,high,Urban greening and heat‑island countermeasures — separated because creation of water/green networks and rooftop/wall greening are explicit adaptation infrastructure/landscape interventions addressing urban heat‑island risks and are described as their own set of measures.,"This policy targets urban heat‑island mitigation by creating interconnected green and water (blue) spaces and promoting rooftop/wall greening, so its primary objective is environmental — reducing urban temperatures and improving ecosystem services. It is classified separately from pure housing/infrastructure or governance policies because the main action is ecosystem-based urban greening and water-network creation (nature-based environmental intervention) rather than construction standards, economic incentives, or regulatory frameworks."
Hiroshima,Seven‑area resilience focus for adaptation planning,"The city will advance measures in 7 areas in which “the state’s adaptation plan” will be adopted according to natural/economic/social conditions; particularly, the city will focus on the items of “natural disaster/coast area”, “health” and “people’s life/city life” whose damage by climate change has become obvious in the city. 7 adaptation areas the state defines
1. Agriculture, forest/forestry, fishing industry 5. Health
2. Water environment/water resource 6. Industry / economic activities
3. Natural ecosystem 7. People’s life/city life
4. Natural disaster/coast area",Governance and Policy,high,"Seven‑area resilience focus for adaptation planning — separated because the plan explicitly organizes adaptation by seven thematic areas (agriculture, water, ecosystems, disaster/coast, health, industry, people’s life), and highlights prioritization of three of those areas; this is a distinct planning-level policy.","This is a cross‑sectoral adaptation planning framework that adopts the state’s seven defined focus areas and directs how the city will prioritize and advance measures. Because the primary action is planning/aligning and setting a governance/implementation focus (rather than implementing a single technical intervention in infrastructure, environment, economy, or social services), it is best classified as a Governance and Policy measure. It is separate from sectoral policies because it establishes the policy/planning structure that coordinates those sectoral actions."
Hiroshima,"System to learn, evaluate and monitor climate change effects (research cooperation)","3) Building of a system to learn and evaluate the effects of climate change In order to prepare for the estimated effects and advance “adaptation measures” appropriately at a suitable time, the city will cooperate with the state and universities and consider a system to learn and evaluate.",Governance and Policy,high,"System to learn, evaluate and monitor climate change effects (research cooperation) — separated because it concerns institutional monitoring, learning and evaluation (cooperation with state and universities) which is functionally different from implementation measures and is necessary for timely adaptation decision‑making.","This policy focuses on creating institutional arrangements for learning, evaluation, and monitoring of climate impacts through cooperation with the state and universities — i.e., setting up data, research and decision-support systems. It is distinct from environmental management or infrastructure actions because its primary intervention is governance, monitoring and inter‑agency/university coordination to inform adaptation timing and measures."
Hiroshima,Dispersed power and smart‑community emergency power systems,"2) Promotion of large-scale introduction of innovative technology (Change of Action) Promote and expand the use of the dispersed power system whose energy can be effectively used in a community as well as an emergency power source at the time of disaster, and build the foundation of a smart community. Second Pillar “Promotion of large-scale introduction of innovative technology (Change of Action)”
Promote and expand the use of dispersed power
• NEW Promotion of introduction of fuel cell vehicles (FCV),
• Promote and expand the use of dispersed power
Production of smart community foundation development
• New Support for smart community foundation development
• New Promotion of introduction for flexible use of energy between buildings",Environmental and Resources,high,Dispersed power and smart‑community emergency power systems — separated because the document frames dispersed power use and smart community foundations specifically as resilience measures (emergency power at time of disaster) distinct from mitigation‑focused technology deployment.,"This policy targets deployment and integration of decentralized energy technologies (fuel cell vehicles, dispersed power, energy sharing between buildings) and building a smart-community energy foundation — i.e., management of energy resources and systems rather than housing design, social programs, or purely governance measures. It is treated as a separate policy because its primary interventions are technical and resource-focused (energy production, distribution, flexible use and resilience) rather than infrastructure planning, economic incentives, or social equity programs."
Hiroshima,City staff training and publicity for adaptation,"2. Policy direction
 Promote publicity and education of city staff by training, etc. 〇 Adapting to the effects of climate change (adaptation)
1. Purpose
Adaptation measures by the city promote the measures by all the city organizations as well as promoting voluntary actions by citizens and business operators in order to firmly advance the measures stated in Chapter 6 “Adaptation to the effect of climate change due to global warming (Adaptation Measures).”",Governance and Policy,high,City staff training and publicity for adaptation — separated because training and internal publicity for municipal staff are internal capacity measures distinct from citizen education or infrastructure investments.,"This policy is focused on institutional capacity‑building, staff training and publicity to mainstream climate adaptation across city organizations and stakeholders. It is distinct from infrastructure, environmental resource, economic or direct social support measures because its primary action is governance — education, coordination and promoting voluntary action rather than physical investments or resource management."
Hiroshima,"Resilient infrastructure and lifeline preparedness (roads, water, sewage)","2. Policy direction
 Infrastructures and lifelines such as roads and water/sewage systems are prepared under the city’s responsibility to minimize or avoid the effect by estimated disaster to civil life and business activities. Even at the time of disaster, the city takes appropriate measures at right timings for swift recovery. 〇 Adapting to the effects of climate change (adaptation)
1. Purpose
Adaptation measures by the city promote the measures by all the city organizations as well as promoting voluntary actions by citizens and business operators in order to firmly advance the measures stated in Chapter 6 “Adaptation to the effect of climate change due to global warming (Adaptation Measures).”",Housing and Infrastructure,high,"Resilient infrastructure and lifeline preparedness (roads, water, sewage) — separated because the city explicitly assigns responsibility for preparing physical lifelines and infrastructure for minimizing disaster impacts and enabling swift recovery; this is an operational infrastructure policy distinct from others.","This policy centers on physical lifeline systems — roads, water and sewage — and explicit measures to prepare, protect and enable rapid recovery of those infrastructures from disasters and climate impacts. That makes it focused on infrastructure design, operation and resilience (not on ecosystems, economic incentives, or primarily legal frameworks), so it is distinct from Environmental and Resources or Governance policies which would emphasize ecosystems or regulatory instruments rather than service continuity and engineering preparedness."
Hiroshima,Adaptation‑oriented operation and continuity of public facilities," Public facilities are operated from the additional viewpoint of adaptation. 〇 Adapting to the effects of climate change (adaptation)
1. Purpose
Adaptation measures by the city promote the measures by all the city organizations as well as promoting voluntary actions by citizens and business operators in order to firmly advance the measures stated in Chapter 6 “Adaptation to the effect of climate change due to global warming (Adaptation Measures).”",Governance and Policy,high,"Adaptation‑oriented operation and continuity of public facilities — separated because operating public facilities from an adaptation viewpoint (continuity, use during disasters) is an operational policy distinct from construction or training measures.","This policy was created to mainstream climate adaptation into the operation and continuity of public facilities and to promote coordinated adaptation actions across city organizations and voluntary actions by citizens and businesses. It is separate from infrastructure or environmental resource policies because it focuses on institutionalizing adaptation through planning, inter‑agency coordination and operational continuity rather than on physical construction, resource management, or direct technical interventions."
Geneva,Urban permeability and creation of interconnected planted water/green areas (Network of oases),"Most urban land is impermeable. This prevents natural water infiltration and contributes to heat islands as well as flooding, which is a particularly undesirable situation given the acceleration of extreme climate events. The City of Geneva will embark on a process of making part of the urban area more permeable and will create a series of new, interconnected planted areas with trees and water.",Environmental and Resources,high,"Urban permeability and creation of interconnected planted water/green areas (Network of oases): This is an explicit territorial-development adaptation measure addressing impermeability, flooding and urban heat by creating interconnected planted areas and was presented as a clear spatial planning action distinct from other measures.","This policy focuses on restoring natural hydrology and urban ecosystems by increasing permeability and creating interconnected planted/water areas, so it complements but remains distinct from prior policies on built infrastructure or transport. It is classified separately because its primary action is ecological land-use change and water management (green-blue infrastructure and biodiversity), rather than building standards, housing provision, or economic measures."
