cluster_id,cluster_type,role,section_header,sector,policy_statement,parent_statement,verbatim_text,extraction_rationale,policy_type,parent_policy_name,validation_result,confidence_score,validation_reasoning,final_verdict,has_quantifiable_target,has_timeline,has_binding_mechanism,has_spatial_specificity,weak_language_detected,strong_language_detected,initiative_name,initiative_result,confidence_score_init,coverage_score,coherence_score,aggregate_measurability,has_implementation_pathway,inherited_binding_mechanism,inherited_spatial_scope,subs_strong,subs_moderate,subs_weak,final_verdict_init,initiative_reasoning,trace_type,trace_id,trace_path,sub_index,sub_action_label,sub_strength,sub_has_quantifiable_target,sub_has_timeline,sub_is_concrete_action
9,parent_with_subs,sub,Pillar 1 | Strategy 1. Retrofit buildings,Buildings,"Retrofit residential buildings with 4 or fewer units: 20% by 2030 and 50% by 2040, prioritizing low- or moderate-income households.","Pillar 1 Strategy 1: Retrofit buildings with specified targets across residential, industrial, city-owned/sister-agency, and commercial buildings.","A. Retrofit residential buildings with 4 or fewer units:20% by 2030 and 50%by2040, prioritizing low- or moder- ate-income households",Lettered action under a parent strategy with quantified targets and dates.,sub,1. Retrofit buildings,,,,,,,,,,,Pillar 1 | Strategy 1. Retrofit buildings,SOUND,0.82,0.9,0.95,Yes,Yes,No,No,5.0,0.0,0.0,True,"This initiative aims to increase access to utility savings/renewable energy by retrofitting buildings, with distinct targets for major building segments (small residential, multifamily, industrial, public/sister-agency, commercial). All 5 sub-actions are strong (5 strong / 0 moderate / 0 weak) because each contains (i) a concrete retrofit action, (ii) a quantifiable target (% of stock), and (iii) an explicit deadline year. The parent text does not provide an enforceable mechanism (ordinance/regulation) or explicit geographic scope to inherit, but the cluster remains highly measurable and operationally oriented. Coverage is high because the actions map directly onto the parent’s stated building categories; coherence is high because the actions are segmented and timelines are compatible (2030/2035 with an additional 2040 milestone). Applying the initiative soundness rule: coverage_score (0.9) >= 0.6, coherence_score (0.95) >= 0.5, aggregate_measurability is Yes, at least half of sub-actions are strong/moderate (all are), and at least one is strong (many are) → SOUND; therefore final_verdict is True given confidence_score 0.82.",initiative,init:Pillar 1 | Strategy 1. Retrofit buildings:sub:1,outputs/policy_pipeline_v4/traces/initiative_parent_sub_traces.jsonl,1.0,Action 1: Retrofit residential buildings with 4 or fewer units (20% by 2030; 50% by 2040; prioritize LMI households),strong,Yes,Yes,Yes
9,parent_with_subs,sub,Pillar 1 | Strategy 1. Retrofit buildings,Buildings,Retrofit 20% of total 5+ unit residential buildings by 2030.,"Pillar 1 Strategy 1: Retrofit buildings with specified targets across residential, industrial, city-owned/sister-agency, and commercial buildings.",B. Retrofit 20%of total 5+ unit residential buildings by 2030,Lettered action under a parent strategy with quantified target and date.,sub,1. Retrofit buildings,,,,,,,,,,,Pillar 1 | Strategy 1. Retrofit buildings,SOUND,0.82,0.9,0.95,Yes,Yes,No,No,5.0,0.0,0.0,True,"This initiative aims to increase access to utility savings/renewable energy by retrofitting buildings, with distinct targets for major building segments (small residential, multifamily, industrial, public/sister-agency, commercial). All 5 sub-actions are strong (5 strong / 0 moderate / 0 weak) because each contains (i) a concrete retrofit action, (ii) a quantifiable target (% of stock), and (iii) an explicit deadline year. The parent text does not provide an enforceable mechanism (ordinance/regulation) or explicit geographic scope to inherit, but the cluster remains highly measurable and operationally oriented. Coverage is high because the actions map directly onto the parent’s stated building categories; coherence is high because the actions are segmented and timelines are compatible (2030/2035 with an additional 2040 milestone). Applying the initiative soundness rule: coverage_score (0.9) >= 0.6, coherence_score (0.95) >= 0.5, aggregate_measurability is Yes, at least half of sub-actions are strong/moderate (all are), and at least one is strong (many are) → SOUND; therefore final_verdict is True given confidence_score 0.82.",initiative,init:Pillar 1 | Strategy 1. Retrofit buildings:sub:2,outputs/policy_pipeline_v4/traces/initiative_parent_sub_traces.jsonl,2.0,Action 2: Retrofit 20% of total 5+ unit residential buildings by 2030,strong,Yes,Yes,Yes
9,parent_with_subs,sub,Pillar 1 | Strategy 1. Retrofit buildings,Buildings,Retrofit 20% of total industrial buildings by 2030.,"Pillar 1 Strategy 1: Retrofit buildings with specified targets across residential, industrial, city-owned/sister-agency, and commercial buildings.",C. Retrofit 20%of total industrial buildings by 2030,Lettered action under a parent strategy with quantified target and date.,sub,1. Retrofit buildings,,,,,,,,,,,Pillar 1 | Strategy 1. Retrofit buildings,SOUND,0.82,0.9,0.95,Yes,Yes,No,No,5.0,0.0,0.0,True,"This initiative aims to increase access to utility savings/renewable energy by retrofitting buildings, with distinct targets for major building segments (small residential, multifamily, industrial, public/sister-agency, commercial). All 5 sub-actions are strong (5 strong / 0 moderate / 0 weak) because each contains (i) a concrete retrofit action, (ii) a quantifiable target (% of stock), and (iii) an explicit deadline year. The parent text does not provide an enforceable mechanism (ordinance/regulation) or explicit geographic scope to inherit, but the cluster remains highly measurable and operationally oriented. Coverage is high because the actions map directly onto the parent’s stated building categories; coherence is high because the actions are segmented and timelines are compatible (2030/2035 with an additional 2040 milestone). Applying the initiative soundness rule: coverage_score (0.9) >= 0.6, coherence_score (0.95) >= 0.5, aggregate_measurability is Yes, at least half of sub-actions are strong/moderate (all are), and at least one is strong (many are) → SOUND; therefore final_verdict is True given confidence_score 0.82.",initiative,init:Pillar 1 | Strategy 1. Retrofit buildings:sub:3,outputs/policy_pipeline_v4/traces/initiative_parent_sub_traces.jsonl,3.0,Action 3: Retrofit 20% of total industrial buildings by 2030,strong,Yes,Yes,Yes
9,parent_with_subs,sub,Pillar 1 | Strategy 1. Retrofit buildings,Buildings,Retrofit 90% of total City-owned and sister agency-owned buildings by 2035.,"Pillar 1 Strategy 1: Retrofit buildings with specified targets across residential, industrial, city-owned/sister-agency, and commercial buildings.",D. Retrofit90%oftotalCity-ownedandsisteragen - cy-owned buildings by 2035,Lettered action under a parent strategy with quantified target and date.,sub,1. Retrofit buildings,,,,,,,,,,,Pillar 1 | Strategy 1. Retrofit buildings,SOUND,0.82,0.9,0.95,Yes,Yes,No,No,5.0,0.0,0.0,True,"This initiative aims to increase access to utility savings/renewable energy by retrofitting buildings, with distinct targets for major building segments (small residential, multifamily, industrial, public/sister-agency, commercial). All 5 sub-actions are strong (5 strong / 0 moderate / 0 weak) because each contains (i) a concrete retrofit action, (ii) a quantifiable target (% of stock), and (iii) an explicit deadline year. The parent text does not provide an enforceable mechanism (ordinance/regulation) or explicit geographic scope to inherit, but the cluster remains highly measurable and operationally oriented. Coverage is high because the actions map directly onto the parent’s stated building categories; coherence is high because the actions are segmented and timelines are compatible (2030/2035 with an additional 2040 milestone). Applying the initiative soundness rule: coverage_score (0.9) >= 0.6, coherence_score (0.95) >= 0.5, aggregate_measurability is Yes, at least half of sub-actions are strong/moderate (all are), and at least one is strong (many are) → SOUND; therefore final_verdict is True given confidence_score 0.82.",initiative,init:Pillar 1 | Strategy 1. Retrofit buildings:sub:4,outputs/policy_pipeline_v4/traces/initiative_parent_sub_traces.jsonl,4.0,Action 4: Retrofit 90% of total City-owned and sister agency-owned buildings by 2035,strong,Yes,Yes,Yes
9,parent_with_subs,sub,Pillar 1 | Strategy 1. Retrofit buildings,Buildings,Retrofit 20% of total commercial buildings by 2035.,"Pillar 1 Strategy 1: Retrofit buildings with specified targets across residential, industrial, city-owned/sister-agency, and commercial buildings.",E. Retrofit 20%of total commercial buildings by 2035,Lettered action under a parent strategy with quantified target and date.,sub,1. Retrofit buildings,,,,,,,,,,,Pillar 1 | Strategy 1. Retrofit buildings,SOUND,0.82,0.9,0.95,Yes,Yes,No,No,5.0,0.0,0.0,True,"This initiative aims to increase access to utility savings/renewable energy by retrofitting buildings, with distinct targets for major building segments (small residential, multifamily, industrial, public/sister-agency, commercial). All 5 sub-actions are strong (5 strong / 0 moderate / 0 weak) because each contains (i) a concrete retrofit action, (ii) a quantifiable target (% of stock), and (iii) an explicit deadline year. The parent text does not provide an enforceable mechanism (ordinance/regulation) or explicit geographic scope to inherit, but the cluster remains highly measurable and operationally oriented. Coverage is high because the actions map directly onto the parent’s stated building categories; coherence is high because the actions are segmented and timelines are compatible (2030/2035 with an additional 2040 milestone). Applying the initiative soundness rule: coverage_score (0.9) >= 0.6, coherence_score (0.95) >= 0.5, aggregate_measurability is Yes, at least half of sub-actions are strong/moderate (all are), and at least one is strong (many are) → SOUND; therefore final_verdict is True given confidence_score 0.82.",initiative,init:Pillar 1 | Strategy 1. Retrofit buildings:sub:5,outputs/policy_pipeline_v4/traces/initiative_parent_sub_traces.jsonl,5.0,Action 5: Retrofit 20% of total commercial buildings by 2035,strong,Yes,Yes,Yes
10,parent_with_subs,parent,Pillar 1 | Strategy 2. Connect communities to renewable energy,Energy,"Pillar 1 Strategy 2: Connect communities to renewable energy with targets for co-owned community solar, Chicago-based community renewables, and low-income/EJ subscription rates.",,"1 Increase access to utility savings and renewable energy, prioritizing households | 2. Connect communities to renewable energy | A. Install 5 megawatts of co-owned community solar proj- ects by 2025 B. Increase Chicago-based community renewables to 20 megawatts by 2025 C. Increase community renewables subscriptions to achieve 25%subscribed by low-income and/or environ- mental justice low-income residents by 2030","Named strategy with multiple lettered, quantified sub-actions; extract parent and subs.",parent,,,,,,,,,,,,Pillar 1 | Strategy 2. Connect communities to renewable energy,SOUND,0.86,0.85,0.9,Yes,Yes,No,Yes,3.0,0.0,0.0,True,"This initiative aims to increase access to renewable energy and utility savings by expanding community renewables and ensuring equitable participation, with a focus on prioritized households. Sub-action strength count: 3 strong, 0 moderate, 0 weak. The parent provides a clear thematic scope (community renewables/access for households, Chicago context), but it does not establish an enforceable binding mechanism; despite that, the cluster remains highly actionable because each sub-action includes concrete deliverables with measurable targets and timelines. Coverage is high because the actions match the parent’s stated targets (co-owned MW, Chicago-based MW, and low-income/EJ subscription rate), though it omits details on delivery mechanisms. Coherence is high because capacity expansion (2025) aligns with longer-term equity subscription goals (2030) without conflicts. Applying the initiative soundness rule: coverage_score (0.85) and coherence_score (0.9) exceed thresholds, aggregate measurability is Yes, at least half of sub-actions are strong/moderate (all are), and at least one is strong (yes) → SOUND. Verdict is True given confidence_score ≥ 0.55.",initiative,init:Pillar 1 | Strategy 2. Connect communities to renewable energy:parent,outputs/policy_pipeline_v4/traces/initiative_parent_sub_traces.jsonl,,,,,,
10,parent_with_subs,sub,Pillar 1 | Strategy 2. Connect communities to renewable energy,Energy,Install 5 megawatts of co-owned community solar projects by 2025.,"Pillar 1 Strategy 2: Connect communities to renewable energy with targets for co-owned community solar, Chicago-based community renewables, and low-income/EJ subscription rates.",A. Install 5 megawatts of co-owned community solar proj- ects by 2025,Lettered action with quantified MW target and deadline.,sub,2. Connect communities to renewable energy,,,,,,,,,,,Pillar 1 | Strategy 2. Connect communities to renewable energy,SOUND,0.86,0.85,0.9,Yes,Yes,No,Yes,3.0,0.0,0.0,True,"This initiative aims to increase access to renewable energy and utility savings by expanding community renewables and ensuring equitable participation, with a focus on prioritized households. Sub-action strength count: 3 strong, 0 moderate, 0 weak. The parent provides a clear thematic scope (community renewables/access for households, Chicago context), but it does not establish an enforceable binding mechanism; despite that, the cluster remains highly actionable because each sub-action includes concrete deliverables with measurable targets and timelines. Coverage is high because the actions match the parent’s stated targets (co-owned MW, Chicago-based MW, and low-income/EJ subscription rate), though it omits details on delivery mechanisms. Coherence is high because capacity expansion (2025) aligns with longer-term equity subscription goals (2030) without conflicts. Applying the initiative soundness rule: coverage_score (0.85) and coherence_score (0.9) exceed thresholds, aggregate measurability is Yes, at least half of sub-actions are strong/moderate (all are), and at least one is strong (yes) → SOUND. Verdict is True given confidence_score ≥ 0.55.",initiative,init:Pillar 1 | Strategy 2. Connect communities to renewable energy:sub:1,outputs/policy_pipeline_v4/traces/initiative_parent_sub_traces.jsonl,1.0,Action 1: Install 5 megawatts of co-owned community solar projects by 2025.,strong,Yes,Yes,Yes
10,parent_with_subs,sub,Pillar 1 | Strategy 2. Connect communities to renewable energy,Energy,Increase Chicago-based community renewables to 20 megawatts by 2025.,"Pillar 1 Strategy 2: Connect communities to renewable energy with targets for co-owned community solar, Chicago-based community renewables, and low-income/EJ subscription rates.",B. Increase Chicago-based community renewables to 20 megawatts by 2025,Lettered action with quantified MW target and deadline.,sub,2. Connect communities to renewable energy,,,,,,,,,,,Pillar 1 | Strategy 2. Connect communities to renewable energy,SOUND,0.86,0.85,0.9,Yes,Yes,No,Yes,3.0,0.0,0.0,True,"This initiative aims to increase access to renewable energy and utility savings by expanding community renewables and ensuring equitable participation, with a focus on prioritized households. Sub-action strength count: 3 strong, 0 moderate, 0 weak. The parent provides a clear thematic scope (community renewables/access for households, Chicago context), but it does not establish an enforceable binding mechanism; despite that, the cluster remains highly actionable because each sub-action includes concrete deliverables with measurable targets and timelines. Coverage is high because the actions match the parent’s stated targets (co-owned MW, Chicago-based MW, and low-income/EJ subscription rate), though it omits details on delivery mechanisms. Coherence is high because capacity expansion (2025) aligns with longer-term equity subscription goals (2030) without conflicts. Applying the initiative soundness rule: coverage_score (0.85) and coherence_score (0.9) exceed thresholds, aggregate measurability is Yes, at least half of sub-actions are strong/moderate (all are), and at least one is strong (yes) → SOUND. Verdict is True given confidence_score ≥ 0.55.",initiative,init:Pillar 1 | Strategy 2. Connect communities to renewable energy:sub:2,outputs/policy_pipeline_v4/traces/initiative_parent_sub_traces.jsonl,2.0,Action 2: Increase Chicago-based community renewables to 20 megawatts by 2025.,strong,Yes,Yes,Yes
10,parent_with_subs,sub,Pillar 1 | Strategy 2. Connect communities to renewable energy,Energy,Increase community renewables subscriptions to achieve 25% subscribed by low-income and/or environmental justice low-income residents by 2030.,"Pillar 1 Strategy 2: Connect communities to renewable energy with targets for co-owned community solar, Chicago-based community renewables, and low-income/EJ subscription rates.",C. Increase community renewables subscriptions to achieve 25%subscribed by low-income and/or environ- mental justice low-income residents by 2030,Lettered action with quantified subscription rate target and deadline.,sub,2. Connect communities to renewable energy,,,,,,,,,,,Pillar 1 | Strategy 2. Connect communities to renewable energy,SOUND,0.86,0.85,0.9,Yes,Yes,No,Yes,3.0,0.0,0.0,True,"This initiative aims to increase access to renewable energy and utility savings by expanding community renewables and ensuring equitable participation, with a focus on prioritized households. Sub-action strength count: 3 strong, 0 moderate, 0 weak. The parent provides a clear thematic scope (community renewables/access for households, Chicago context), but it does not establish an enforceable binding mechanism; despite that, the cluster remains highly actionable because each sub-action includes concrete deliverables with measurable targets and timelines. Coverage is high because the actions match the parent’s stated targets (co-owned MW, Chicago-based MW, and low-income/EJ subscription rate), though it omits details on delivery mechanisms. Coherence is high because capacity expansion (2025) aligns with longer-term equity subscription goals (2030) without conflicts. Applying the initiative soundness rule: coverage_score (0.85) and coherence_score (0.9) exceed thresholds, aggregate measurability is Yes, at least half of sub-actions are strong/moderate (all are), and at least one is strong (yes) → SOUND. Verdict is True given confidence_score ≥ 0.55.",initiative,init:Pillar 1 | Strategy 2. Connect communities to renewable energy:sub:3,outputs/policy_pipeline_v4/traces/initiative_parent_sub_traces.jsonl,3.0,Action 3: Increase community renewables subscriptions to achieve 25% subscribed by low-income and/or environmental justice low-income residents by 2030.,strong,Yes,Yes,Yes
11,parent_with_subs,parent,Pillar 2 | Strategy 1. Reduce waste and landfilling,Waste,"Pillar 2 Strategy 1: Reduce waste and landfilling with targets for organics collection, source prevention, and diversion across waste streams.",,"2 Build circular economies to create jobs and reduce waste | 1. Reduce waste and landfilling | A. Introduce community-wide organic waste collection and decomposition by 2025 B. Implement equitable waste source prevention strategies by 2030 C. Divert 90%ofcommercial, industrial, and institutional waste by 2030 D. Divert 75%of construction and demolition waste by 2030 E. Enable building design for disassembly and reuse by 2035 F. Divert 90%ofresidential waste by 2040","Named strategy with multiple lettered, quantified actions and deadlines.",parent,,,,,,,,,,,,Pillar 2 | Strategy 1. Reduce waste and landfilling,SOUND,0.78,0.85,0.9,Yes,Yes,No,Yes,3.0,1.0,2.0,True,"1) The initiative aims to reduce waste and landfilling by shifting to a circular economy through organics collection, source prevention, and high diversion rates across major waste streams. 2) Sub-action strengths: strong = 3 (Actions 3, 4, 6), moderate = 1 (Action 1), weak = 2 (Actions 2, 5). 3) The parent provides spatial scope via 'community-wide' and an overall waste/landfilling frame, but it does not state a binding mechanism (ordinance/regulation), so weaker 'enable/implement strategies' items are not lifted into enforceable commitments. 4) Coverage is high because organics, CII, C&D, and residential streams are all addressed with clear diversion targets and years; the main gap is lack of stated instruments to achieve them. Coherence is high because the actions are non-overlapping, stream-specific, and sequenced over time (2025/2030/2035/2040). 5) Applying the Initiative Soundness Rule: coverage_score (0.85) >= 0.6, coherence_score (0.9) >= 0.5, aggregate_measurability = Yes, at least half of sub-actions are strong/moderate (4/6), and at least one is strong (3 strong). Therefore the initiative is SOUND, and with confidence_score 0.78 the final verdict is True.",initiative,init:Pillar 2 | Strategy 1. Reduce waste and landfilling:parent,outputs/policy_pipeline_v4/traces/initiative_parent_sub_traces.jsonl,,,,,,
11,parent_with_subs,sub,Pillar 2 | Strategy 1. Reduce waste and landfilling,Waste,Introduce community-wide organic waste collection and decomposition by 2025.,"Pillar 2 Strategy 1: Reduce waste and landfilling with targets for organics collection, source prevention, and diversion across waste streams.",A. Introduce community-wide organic waste collection and decomposition by 2025,Lettered action with explicit deadline.,sub,1. Reduce waste and landfilling,,,,,,,,,,,Pillar 2 | Strategy 1. Reduce waste and landfilling,SOUND,0.78,0.85,0.9,Yes,Yes,No,Yes,3.0,1.0,2.0,True,"1) The initiative aims to reduce waste and landfilling by shifting to a circular economy through organics collection, source prevention, and high diversion rates across major waste streams. 2) Sub-action strengths: strong = 3 (Actions 3, 4, 6), moderate = 1 (Action 1), weak = 2 (Actions 2, 5). 3) The parent provides spatial scope via 'community-wide' and an overall waste/landfilling frame, but it does not state a binding mechanism (ordinance/regulation), so weaker 'enable/implement strategies' items are not lifted into enforceable commitments. 4) Coverage is high because organics, CII, C&D, and residential streams are all addressed with clear diversion targets and years; the main gap is lack of stated instruments to achieve them. Coherence is high because the actions are non-overlapping, stream-specific, and sequenced over time (2025/2030/2035/2040). 5) Applying the Initiative Soundness Rule: coverage_score (0.85) >= 0.6, coherence_score (0.9) >= 0.5, aggregate_measurability = Yes, at least half of sub-actions are strong/moderate (4/6), and at least one is strong (3 strong). Therefore the initiative is SOUND, and with confidence_score 0.78 the final verdict is True.",initiative,init:Pillar 2 | Strategy 1. Reduce waste and landfilling:sub:1,outputs/policy_pipeline_v4/traces/initiative_parent_sub_traces.jsonl,1.0,Action 1: Introduce community-wide organic waste collection and decomposition by 2025.,moderate,No,Yes,Yes
11,parent_with_subs,sub,Pillar 2 | Strategy 1. Reduce waste and landfilling,Waste,Implement equitable waste source prevention strategies by 2030.,"Pillar 2 Strategy 1: Reduce waste and landfilling with targets for organics collection, source prevention, and diversion across waste streams.",B. Implement equitable waste source prevention strategies by 2030,Lettered action with explicit deadline.,sub,1. Reduce waste and landfilling,,,,,,,,,,,Pillar 2 | Strategy 1. Reduce waste and landfilling,SOUND,0.78,0.85,0.9,Yes,Yes,No,Yes,3.0,1.0,2.0,True,"1) The initiative aims to reduce waste and landfilling by shifting to a circular economy through organics collection, source prevention, and high diversion rates across major waste streams. 2) Sub-action strengths: strong = 3 (Actions 3, 4, 6), moderate = 1 (Action 1), weak = 2 (Actions 2, 5). 3) The parent provides spatial scope via 'community-wide' and an overall waste/landfilling frame, but it does not state a binding mechanism (ordinance/regulation), so weaker 'enable/implement strategies' items are not lifted into enforceable commitments. 4) Coverage is high because organics, CII, C&D, and residential streams are all addressed with clear diversion targets and years; the main gap is lack of stated instruments to achieve them. Coherence is high because the actions are non-overlapping, stream-specific, and sequenced over time (2025/2030/2035/2040). 5) Applying the Initiative Soundness Rule: coverage_score (0.85) >= 0.6, coherence_score (0.9) >= 0.5, aggregate_measurability = Yes, at least half of sub-actions are strong/moderate (4/6), and at least one is strong (3 strong). Therefore the initiative is SOUND, and with confidence_score 0.78 the final verdict is True.",initiative,init:Pillar 2 | Strategy 1. Reduce waste and landfilling:sub:2,outputs/policy_pipeline_v4/traces/initiative_parent_sub_traces.jsonl,2.0,Action 2: Implement equitable waste source prevention strategies by 2030.,weak,No,Yes,No
11,parent_with_subs,sub,Pillar 2 | Strategy 1. Reduce waste and landfilling,Waste,"Divert 90% of commercial, industrial, and institutional waste by 2030.","Pillar 2 Strategy 1: Reduce waste and landfilling with targets for organics collection, source prevention, and diversion across waste streams.","C. Divert 90%ofcommercial, industrial, and institutional waste by 2030",Lettered action with quantified diversion target and deadline.,sub,1. Reduce waste and landfilling,,,,,,,,,,,Pillar 2 | Strategy 1. Reduce waste and landfilling,SOUND,0.78,0.85,0.9,Yes,Yes,No,Yes,3.0,1.0,2.0,True,"1) The initiative aims to reduce waste and landfilling by shifting to a circular economy through organics collection, source prevention, and high diversion rates across major waste streams. 2) Sub-action strengths: strong = 3 (Actions 3, 4, 6), moderate = 1 (Action 1), weak = 2 (Actions 2, 5). 3) The parent provides spatial scope via 'community-wide' and an overall waste/landfilling frame, but it does not state a binding mechanism (ordinance/regulation), so weaker 'enable/implement strategies' items are not lifted into enforceable commitments. 4) Coverage is high because organics, CII, C&D, and residential streams are all addressed with clear diversion targets and years; the main gap is lack of stated instruments to achieve them. Coherence is high because the actions are non-overlapping, stream-specific, and sequenced over time (2025/2030/2035/2040). 5) Applying the Initiative Soundness Rule: coverage_score (0.85) >= 0.6, coherence_score (0.9) >= 0.5, aggregate_measurability = Yes, at least half of sub-actions are strong/moderate (4/6), and at least one is strong (3 strong). Therefore the initiative is SOUND, and with confidence_score 0.78 the final verdict is True.",initiative,init:Pillar 2 | Strategy 1. Reduce waste and landfilling:sub:3,outputs/policy_pipeline_v4/traces/initiative_parent_sub_traces.jsonl,3.0,"Action 3: Divert 90% of commercial, industrial, and institutional waste by 2030.",strong,Yes,Yes,Yes
11,parent_with_subs,sub,Pillar 2 | Strategy 1. Reduce waste and landfilling,Waste,Divert 75% of construction and demolition waste by 2030.,"Pillar 2 Strategy 1: Reduce waste and landfilling with targets for organics collection, source prevention, and diversion across waste streams.",D. Divert 75%of construction and demolition waste by 2030,Lettered action with quantified diversion target and deadline.,sub,1. Reduce waste and landfilling,,,,,,,,,,,Pillar 2 | Strategy 1. Reduce waste and landfilling,SOUND,0.78,0.85,0.9,Yes,Yes,No,Yes,3.0,1.0,2.0,True,"1) The initiative aims to reduce waste and landfilling by shifting to a circular economy through organics collection, source prevention, and high diversion rates across major waste streams. 2) Sub-action strengths: strong = 3 (Actions 3, 4, 6), moderate = 1 (Action 1), weak = 2 (Actions 2, 5). 3) The parent provides spatial scope via 'community-wide' and an overall waste/landfilling frame, but it does not state a binding mechanism (ordinance/regulation), so weaker 'enable/implement strategies' items are not lifted into enforceable commitments. 4) Coverage is high because organics, CII, C&D, and residential streams are all addressed with clear diversion targets and years; the main gap is lack of stated instruments to achieve them. Coherence is high because the actions are non-overlapping, stream-specific, and sequenced over time (2025/2030/2035/2040). 5) Applying the Initiative Soundness Rule: coverage_score (0.85) >= 0.6, coherence_score (0.9) >= 0.5, aggregate_measurability = Yes, at least half of sub-actions are strong/moderate (4/6), and at least one is strong (3 strong). Therefore the initiative is SOUND, and with confidence_score 0.78 the final verdict is True.",initiative,init:Pillar 2 | Strategy 1. Reduce waste and landfilling:sub:4,outputs/policy_pipeline_v4/traces/initiative_parent_sub_traces.jsonl,4.0,Action 4: Divert 75% of construction and demolition waste by 2030.,strong,Yes,Yes,Yes
11,parent_with_subs,sub,Pillar 2 | Strategy 1. Reduce waste and landfilling,Waste,Enable building design for disassembly and reuse by 2035.,"Pillar 2 Strategy 1: Reduce waste and landfilling with targets for organics collection, source prevention, and diversion across waste streams.",E. Enable building design for disassembly and reuse by 2035,Lettered action with deadline.,sub,1. Reduce waste and landfilling,,,,,,,,,,,Pillar 2 | Strategy 1. Reduce waste and landfilling,SOUND,0.78,0.85,0.9,Yes,Yes,No,Yes,3.0,1.0,2.0,True,"1) The initiative aims to reduce waste and landfilling by shifting to a circular economy through organics collection, source prevention, and high diversion rates across major waste streams. 2) Sub-action strengths: strong = 3 (Actions 3, 4, 6), moderate = 1 (Action 1), weak = 2 (Actions 2, 5). 3) The parent provides spatial scope via 'community-wide' and an overall waste/landfilling frame, but it does not state a binding mechanism (ordinance/regulation), so weaker 'enable/implement strategies' items are not lifted into enforceable commitments. 4) Coverage is high because organics, CII, C&D, and residential streams are all addressed with clear diversion targets and years; the main gap is lack of stated instruments to achieve them. Coherence is high because the actions are non-overlapping, stream-specific, and sequenced over time (2025/2030/2035/2040). 5) Applying the Initiative Soundness Rule: coverage_score (0.85) >= 0.6, coherence_score (0.9) >= 0.5, aggregate_measurability = Yes, at least half of sub-actions are strong/moderate (4/6), and at least one is strong (3 strong). Therefore the initiative is SOUND, and with confidence_score 0.78 the final verdict is True.",initiative,init:Pillar 2 | Strategy 1. Reduce waste and landfilling:sub:5,outputs/policy_pipeline_v4/traces/initiative_parent_sub_traces.jsonl,5.0,Action 5: Enable building design for disassembly and reuse by 2035.,weak,No,Yes,No
11,parent_with_subs,sub,Pillar 2 | Strategy 1. Reduce waste and landfilling,Waste,Divert 90% of residential waste by 2040.,"Pillar 2 Strategy 1: Reduce waste and landfilling with targets for organics collection, source prevention, and diversion across waste streams.",F. Divert 90%ofresidential waste by 2040,Lettered action with quantified diversion target and deadline.,sub,1. Reduce waste and landfilling,,,,,,,,,,,Pillar 2 | Strategy 1. Reduce waste and landfilling,SOUND,0.78,0.85,0.9,Yes,Yes,No,Yes,3.0,1.0,2.0,True,"1) The initiative aims to reduce waste and landfilling by shifting to a circular economy through organics collection, source prevention, and high diversion rates across major waste streams. 2) Sub-action strengths: strong = 3 (Actions 3, 4, 6), moderate = 1 (Action 1), weak = 2 (Actions 2, 5). 3) The parent provides spatial scope via 'community-wide' and an overall waste/landfilling frame, but it does not state a binding mechanism (ordinance/regulation), so weaker 'enable/implement strategies' items are not lifted into enforceable commitments. 4) Coverage is high because organics, CII, C&D, and residential streams are all addressed with clear diversion targets and years; the main gap is lack of stated instruments to achieve them. Coherence is high because the actions are non-overlapping, stream-specific, and sequenced over time (2025/2030/2035/2040). 5) Applying the Initiative Soundness Rule: coverage_score (0.85) >= 0.6, coherence_score (0.9) >= 0.5, aggregate_measurability = Yes, at least half of sub-actions are strong/moderate (4/6), and at least one is strong (3 strong). Therefore the initiative is SOUND, and with confidence_score 0.78 the final verdict is True.",initiative,init:Pillar 2 | Strategy 1. Reduce waste and landfilling:sub:6,outputs/policy_pipeline_v4/traces/initiative_parent_sub_traces.jsonl,6.0,Action 6: Divert 90% of residential waste by 2040.,strong,Yes,Yes,Yes
