cluster_id,cluster_type,role,section_header,sector,policy_statement,parent_statement,verbatim_text,extraction_rationale,policy_type,parent_policy_name
9,parent_with_subs,sub,Pillar 1 | Strategy 1. Retrofit buildings,Buildings,"Retrofit residential buildings with 4 or fewer units: 20% by 2030 and 50% by 2040, prioritizing low- or moderate-income households.","Pillar 1 Strategy 1: Retrofit buildings with specified targets across residential, industrial, city-owned/sister-agency, and commercial buildings.","A. Retrofit residential buildings with 4 or fewer units:20% by 2030 and 50%by2040, prioritizing low- or moder- ate-income households",Lettered action under a parent strategy with quantified targets and dates.,sub,1. Retrofit buildings
9,parent_with_subs,sub,Pillar 1 | Strategy 1. Retrofit buildings,Buildings,Retrofit 20% of total 5+ unit residential buildings by 2030.,"Pillar 1 Strategy 1: Retrofit buildings with specified targets across residential, industrial, city-owned/sister-agency, and commercial buildings.",B. Retrofit 20%of total 5+ unit residential buildings by 2030,Lettered action under a parent strategy with quantified target and date.,sub,1. Retrofit buildings
9,parent_with_subs,sub,Pillar 1 | Strategy 1. Retrofit buildings,Buildings,Retrofit 20% of total industrial buildings by 2030.,"Pillar 1 Strategy 1: Retrofit buildings with specified targets across residential, industrial, city-owned/sister-agency, and commercial buildings.",C. Retrofit 20%of total industrial buildings by 2030,Lettered action under a parent strategy with quantified target and date.,sub,1. Retrofit buildings
9,parent_with_subs,sub,Pillar 1 | Strategy 1. Retrofit buildings,Buildings,Retrofit 90% of total City-owned and sister agency-owned buildings by 2035.,"Pillar 1 Strategy 1: Retrofit buildings with specified targets across residential, industrial, city-owned/sister-agency, and commercial buildings.",D. Retrofit90%oftotalCity-ownedandsisteragen - cy-owned buildings by 2035,Lettered action under a parent strategy with quantified target and date.,sub,1. Retrofit buildings
9,parent_with_subs,sub,Pillar 1 | Strategy 1. Retrofit buildings,Buildings,Retrofit 20% of total commercial buildings by 2035.,"Pillar 1 Strategy 1: Retrofit buildings with specified targets across residential, industrial, city-owned/sister-agency, and commercial buildings.",E. Retrofit 20%of total commercial buildings by 2035,Lettered action under a parent strategy with quantified target and date.,sub,1. Retrofit buildings
10,parent_with_subs,parent,Pillar 1 | Strategy 2. Connect communities to renewable energy,Energy,"Pillar 1 Strategy 2: Connect communities to renewable energy with targets for co-owned community solar, Chicago-based community renewables, and low-income/EJ subscription rates.",,"1 Increase access to utility savings and renewable energy, prioritizing households | 2. Connect communities to renewable energy | A. Install 5 megawatts of co-owned community solar proj- ects by 2025 B. Increase Chicago-based community renewables to 20 megawatts by 2025 C. Increase community renewables subscriptions to achieve 25%subscribed by low-income and/or environ- mental justice low-income residents by 2030","Named strategy with multiple lettered, quantified sub-actions; extract parent and subs.",parent,
10,parent_with_subs,sub,Pillar 1 | Strategy 2. Connect communities to renewable energy,Energy,Install 5 megawatts of co-owned community solar projects by 2025.,"Pillar 1 Strategy 2: Connect communities to renewable energy with targets for co-owned community solar, Chicago-based community renewables, and low-income/EJ subscription rates.",A. Install 5 megawatts of co-owned community solar proj- ects by 2025,Lettered action with quantified MW target and deadline.,sub,2. Connect communities to renewable energy
10,parent_with_subs,sub,Pillar 1 | Strategy 2. Connect communities to renewable energy,Energy,Increase Chicago-based community renewables to 20 megawatts by 2025.,"Pillar 1 Strategy 2: Connect communities to renewable energy with targets for co-owned community solar, Chicago-based community renewables, and low-income/EJ subscription rates.",B. Increase Chicago-based community renewables to 20 megawatts by 2025,Lettered action with quantified MW target and deadline.,sub,2. Connect communities to renewable energy
10,parent_with_subs,sub,Pillar 1 | Strategy 2. Connect communities to renewable energy,Energy,Increase community renewables subscriptions to achieve 25% subscribed by low-income and/or environmental justice low-income residents by 2030.,"Pillar 1 Strategy 2: Connect communities to renewable energy with targets for co-owned community solar, Chicago-based community renewables, and low-income/EJ subscription rates.",C. Increase community renewables subscriptions to achieve 25%subscribed by low-income and/or environ- mental justice low-income residents by 2030,Lettered action with quantified subscription rate target and deadline.,sub,2. Connect communities to renewable energy
11,parent_with_subs,parent,Pillar 2 | Strategy 1. Reduce waste and landfilling,Waste,"Pillar 2 Strategy 1: Reduce waste and landfilling with targets for organics collection, source prevention, and diversion across waste streams.",,"2 Build circular economies to create jobs and reduce waste | 1. Reduce waste and landfilling | A. Introduce community-wide organic waste collection and decomposition by 2025 B. Implement equitable waste source prevention strategies by 2030 C. Divert 90%ofcommercial, industrial, and institutional waste by 2030 D. Divert 75%of construction and demolition waste by 2030 E. Enable building design for disassembly and reuse by 2035 F. Divert 90%ofresidential waste by 2040","Named strategy with multiple lettered, quantified actions and deadlines.",parent,
11,parent_with_subs,sub,Pillar 2 | Strategy 1. Reduce waste and landfilling,Waste,Introduce community-wide organic waste collection and decomposition by 2025.,"Pillar 2 Strategy 1: Reduce waste and landfilling with targets for organics collection, source prevention, and diversion across waste streams.",A. Introduce community-wide organic waste collection and decomposition by 2025,Lettered action with explicit deadline.,sub,1. Reduce waste and landfilling
11,parent_with_subs,sub,Pillar 2 | Strategy 1. Reduce waste and landfilling,Waste,Implement equitable waste source prevention strategies by 2030.,"Pillar 2 Strategy 1: Reduce waste and landfilling with targets for organics collection, source prevention, and diversion across waste streams.",B. Implement equitable waste source prevention strategies by 2030,Lettered action with explicit deadline.,sub,1. Reduce waste and landfilling
11,parent_with_subs,sub,Pillar 2 | Strategy 1. Reduce waste and landfilling,Waste,"Divert 90% of commercial, industrial, and institutional waste by 2030.","Pillar 2 Strategy 1: Reduce waste and landfilling with targets for organics collection, source prevention, and diversion across waste streams.","C. Divert 90%ofcommercial, industrial, and institutional waste by 2030",Lettered action with quantified diversion target and deadline.,sub,1. Reduce waste and landfilling
11,parent_with_subs,sub,Pillar 2 | Strategy 1. Reduce waste and landfilling,Waste,Divert 75% of construction and demolition waste by 2030.,"Pillar 2 Strategy 1: Reduce waste and landfilling with targets for organics collection, source prevention, and diversion across waste streams.",D. Divert 75%of construction and demolition waste by 2030,Lettered action with quantified diversion target and deadline.,sub,1. Reduce waste and landfilling
11,parent_with_subs,sub,Pillar 2 | Strategy 1. Reduce waste and landfilling,Waste,Enable building design for disassembly and reuse by 2035.,"Pillar 2 Strategy 1: Reduce waste and landfilling with targets for organics collection, source prevention, and diversion across waste streams.",E. Enable building design for disassembly and reuse by 2035,Lettered action with deadline.,sub,1. Reduce waste and landfilling
11,parent_with_subs,sub,Pillar 2 | Strategy 1. Reduce waste and landfilling,Waste,Divert 90% of residential waste by 2040.,"Pillar 2 Strategy 1: Reduce waste and landfilling with targets for organics collection, source prevention, and diversion across waste streams.",F. Divert 90%ofresidential waste by 2040,Lettered action with quantified diversion target and deadline.,sub,1. Reduce waste and landfilling
12,parent_with_subs,parent,"Pillar 3 | Strategy 1. Make walking, biking, or transit viable options for all trips",Transport,"Pillar 3 Strategy 1: Make walking, biking, or transit viable options for all trips with actions to expand bikeways/trails, increase shared micromobility, and reach 45% non-car mode share by 2040.",,"3 Deliver a robust zero-emission mobility network that connects communities and improves air quality | 1. Makewalking, biking, or transit viable options for all trips | A. Expand high-quality and low-stress on-street bikeways and off-street trails B. Increase Divvy bikes and shared micromobility trips30% by 2030 C. Enable Chicagoans to walk, bike, take transit, or use shared micromobility for 45%ofall trips by 2040",Named strategy with multiple lettered sub-actions including quantified targets/dates.,parent,
12,parent_with_subs,sub,"Pillar 3 | Strategy 1. Make walking, biking, or transit viable options for all trips",Transport,Expand high-quality and low-stress on-street bikeways and off-street trails.,"Pillar 3 Strategy 1: Make walking, biking, or transit viable options for all trips with actions to expand bikeways/trails, increase shared micromobility, and reach 45% non-car mode share by 2040.",A. Expand high-quality and low-stress on-street bikeways and off-street trails,Specific intervention listed as a lettered action under a parent strategy (even though not quantified in the table row).,sub,"1. Makewalking, biking, or transit viable options for all trips"
12,parent_with_subs,sub,"Pillar 3 | Strategy 1. Make walking, biking, or transit viable options for all trips",Transport,Increase Divvy bikes and shared micromobility trips 30% by 2030.,"Pillar 3 Strategy 1: Make walking, biking, or transit viable options for all trips with actions to expand bikeways/trails, increase shared micromobility, and reach 45% non-car mode share by 2040.",B. Increase Divvy bikes and shared micromobility trips30% by 2030,Lettered action with quantified percent increase and deadline.,sub,"1. Makewalking, biking, or transit viable options for all trips"
12,parent_with_subs,sub,"Pillar 3 | Strategy 1. Make walking, biking, or transit viable options for all trips",Transport,"Enable Chicagoans to walk, bike, take transit, or use shared micromobility for 45% of all trips by 2040.","Pillar 3 Strategy 1: Make walking, biking, or transit viable options for all trips with actions to expand bikeways/trails, increase shared micromobility, and reach 45% non-car mode share by 2040.","C. Enable Chicagoans to walk, bike, take transit, or use shared micromobility for 45%ofall trips by 2040",Lettered action with quantified mode-share target and deadline.,sub,"1. Makewalking, biking, or transit viable options for all trips"
13,parent_with_subs,parent,Pillar 3 | Strategy 2. Increase transit performance and encourage equitable transit-oriented development,Transport,"Pillar 3 Strategy 2: Increase transit performance and encourage equitable transit-oriented development through land use updates, commuter benefits, transportation demand management, and parking requirement updates.",,"3 Deliver a robust zero-emission mobility network that connects communities and improves air quality | 2. Increase transit performance and encourage equitable transit-oriented development | A. Update land use policies to encourage sustainable devel- opment, accessibility, and street safety by 2023 B. Expand use of commuter benefits by 2024 C. Require transportation demandmanagementplans for newdevelopment by 2025 D. Update citywide car and bike parking requirements by 2025",Named strategy with multiple lettered actions and deadlines.,parent,
13,parent_with_subs,sub,Pillar 3 | Strategy 2. Increase transit performance and encourage equitable transit-oriented development,Transport,"Update land use policies to encourage sustainable development, accessibility, and street safety by 2023.","Pillar 3 Strategy 2: Increase transit performance and encourage equitable transit-oriented development through land use updates, commuter benefits, transportation demand management, and parking requirement updates.","A. Update land use policies to encourage sustainable devel- opment, accessibility, and street safety by 2023",Lettered action with deadline.,sub,2. Increase transit performance and encourage equitable transit-oriented development
13,parent_with_subs,sub,Pillar 3 | Strategy 2. Increase transit performance and encourage equitable transit-oriented development,Transport,Expand use of commuter benefits by 2024.,"Pillar 3 Strategy 2: Increase transit performance and encourage equitable transit-oriented development through land use updates, commuter benefits, transportation demand management, and parking requirement updates.",B. Expand use of commuter benefits by 2024,Lettered action with deadline.,sub,2. Increase transit performance and encourage equitable transit-oriented development
13,parent_with_subs,sub,Pillar 3 | Strategy 2. Increase transit performance and encourage equitable transit-oriented development,Transport,Require transportation demand management plans for new development by 2025.,"Pillar 3 Strategy 2: Increase transit performance and encourage equitable transit-oriented development through land use updates, commuter benefits, transportation demand management, and parking requirement updates.",C. Require transportation demandmanagementplans for newdevelopment by 2025,Lettered action with deadline; specifies a regulatory requirement (TDM plans).,sub,2. Increase transit performance and encourage equitable transit-oriented development
13,parent_with_subs,sub,Pillar 3 | Strategy 2. Increase transit performance and encourage equitable transit-oriented development,Transport,Update citywide car and bike parking requirements by 2025.,"Pillar 3 Strategy 2: Increase transit performance and encourage equitable transit-oriented development through land use updates, commuter benefits, transportation demand management, and parking requirement updates.",D. Update citywide car and bike parking requirements by 2025,Lettered action with deadline; indicates regulatory update.,sub,2. Increase transit performance and encourage equitable transit-oriented development
14,parent_with_subs,parent,Pillar 3 | Strategy 3. Enable zero-emission transit and fleets,Transport,"Pillar 3 Strategy 3: Enable zero-emission transit and fleets, including ride-hail/taxi electrification, delivery fleet electrification, City fleet electrification, and regional zero-emission transit fleets.",,3. Enable zero- emission transit and fleets | B. Support equitable electrification of ride-hail and taxi fleets by 2030 C. Enable 100% electrification of delivery fleets by 2035 D. Electrify 100%oftheCity's fleetby2035 E. Achieve zero-emission transit fleets across Chicagoland by 2040,"Named strategy with multiple lettered, time-bound electrification actions.",parent,
14,parent_with_subs,sub,Pillar 3 | Strategy 3. Enable zero-emission transit and fleets,Transport,Support equitable electrification of ride-hail and taxi fleets by 2030.,"Pillar 3 Strategy 3: Enable zero-emission transit and fleets, including ride-hail/taxi electrification, delivery fleet electrification, City fleet electrification, and regional zero-emission transit fleets.",B. Support equitable electrification of ride-hail and taxi fleets by 2030,Lettered action with deadline.,sub,3. Enable zero- emission transit and fleets
14,parent_with_subs,sub,Pillar 3 | Strategy 3. Enable zero-emission transit and fleets,Transport,Enable 100% electrification of delivery fleets by 2035.,"Pillar 3 Strategy 3: Enable zero-emission transit and fleets, including ride-hail/taxi electrification, delivery fleet electrification, City fleet electrification, and regional zero-emission transit fleets.",C. Enable 100% electrification of delivery fleets by 2035,Lettered action with 100% target and deadline.,sub,3. Enable zero- emission transit and fleets
14,parent_with_subs,sub,Pillar 3 | Strategy 3. Enable zero-emission transit and fleets,Transport,Electrify 100% of the City's fleet by 2035.,"Pillar 3 Strategy 3: Enable zero-emission transit and fleets, including ride-hail/taxi electrification, delivery fleet electrification, City fleet electrification, and regional zero-emission transit fleets.",D. Electrify 100%oftheCity's fleetby2035,Lettered action with 100% target and deadline.,sub,3. Enable zero- emission transit and fleets
14,parent_with_subs,sub,Pillar 3 | Strategy 3. Enable zero-emission transit and fleets,Transport,Achieve zero-emission transit fleets across Chicagoland by 2040.,"Pillar 3 Strategy 3: Enable zero-emission transit and fleets, including ride-hail/taxi electrification, delivery fleet electrification, City fleet electrification, and regional zero-emission transit fleets.",E. Achieve zero-emission transit fleets across Chicagoland by 2040,Lettered action with deadline.,sub,3. Enable zero- emission transit and fleets
15,parent_with_subs,parent,Pillar 4 | Strategy 1. 100% clean renewable energy,Energy,"Pillar 4 Strategy 1: Achieve 100% clean renewable energy via aggregation of regional clean energy, installing renewables on City property, and reaching community-wide 100% clean renewable energy by 2035.",,"4 Drive equitable development of Chicago's cleanenergy future | 1. 100%clean renewable energy | A. Aggregate 5,000 megawatts of clean renewable energy within a 250-mile radius of Chicago by 2030 B. Install 30 megawatts of clean renewable energy projects on City property by 2030 C. Achieve 100%clean renewable energy community-wide by 2035",Named strategy with multiple quantified targets and dates.,parent,
15,parent_with_subs,sub,Pillar 4 | Strategy 1. 100% clean renewable energy,Energy,"Aggregate 5,000 megawatts of clean renewable energy within a 250-mile radius of Chicago by 2030.","Pillar 4 Strategy 1: Achieve 100% clean renewable energy via aggregation of regional clean energy, installing renewables on City property, and reaching community-wide 100% clean renewable energy by 2035.","A. Aggregate 5,000 megawatts of clean renewable energy within a 250-mile radius of Chicago by 2030",Lettered action with quantified MW target and deadline.,sub,1. 100%clean renewable energy
15,parent_with_subs,sub,Pillar 4 | Strategy 1. 100% clean renewable energy,Energy,Install 30 megawatts of clean renewable energy projects on City property by 2030.,"Pillar 4 Strategy 1: Achieve 100% clean renewable energy via aggregation of regional clean energy, installing renewables on City property, and reaching community-wide 100% clean renewable energy by 2035.",B. Install 30 megawatts of clean renewable energy projects on City property by 2030,Lettered action with quantified MW target and deadline.,sub,1. 100%clean renewable energy
15,parent_with_subs,sub,Pillar 4 | Strategy 1. 100% clean renewable energy,Energy,Achieve 100% clean renewable energy community-wide by 2035.,"Pillar 4 Strategy 1: Achieve 100% clean renewable energy via aggregation of regional clean energy, installing renewables on City property, and reaching community-wide 100% clean renewable energy by 2035.",C. Achieve 100%clean renewable energy community-wide by 2035,Lettered action with 100% target and deadline.,sub,1. 100%clean renewable energy
16,parent_with_subs,parent,Pillar 4 | Strategy 2. Enable building and personal vehicle electrification,Buildings,"Pillar 4 Strategy 2: Enable building and personal vehicle electrification with policy support for electrified renovations/new construction and electrification targets across building types, plus expanded EV charging infrastructure.",,4 Drive equitable development of Chicago's cleanenergy future | 2. Enable buildingand personal vehicle electrification | A. Enact policies that support electrified renovations and newconstruction by 2023 B. Electrify 30%oftotal existing residential buildings by 2035 C. Electrify 20%oftotal existing industrial buildings by 2035 D. Electrify 10%of total existing commercial buildings by 2035 E. Electrify 90%oftotal existing City-owned buildings by 2035,Named strategy with multiple lettered actions and deadlines; includes regulatory/policy commitments and quantified electrification targets.,parent,
16,parent_with_subs,sub,Pillar 4 | Strategy 2. Enable building and personal vehicle electrification,Buildings,Enact policies that support electrified renovations and new construction by 2023.,"Pillar 4 Strategy 2: Enable building and personal vehicle electrification with policy support for electrified renovations/new construction and electrification targets across building types, plus expanded EV charging infrastructure.",A. Enact policies that support electrified renovations and newconstruction by 2023,Lettered action with deadline and explicit policy mechanism.,sub,2. Enable buildingand personal vehicle electrification
16,parent_with_subs,sub,Pillar 4 | Strategy 2. Enable building and personal vehicle electrification,Buildings,Electrify 30% of total existing residential buildings by 2035.,"Pillar 4 Strategy 2: Enable building and personal vehicle electrification with policy support for electrified renovations/new construction and electrification targets across building types, plus expanded EV charging infrastructure.",B. Electrify 30%oftotal existing residential buildings by 2035,Lettered action with quantified target and deadline.,sub,2. Enable buildingand personal vehicle electrification
16,parent_with_subs,sub,Pillar 4 | Strategy 2. Enable building and personal vehicle electrification,Buildings,Electrify 20% of total existing industrial buildings by 2035.,"Pillar 4 Strategy 2: Enable building and personal vehicle electrification with policy support for electrified renovations/new construction and electrification targets across building types, plus expanded EV charging infrastructure.",C. Electrify 20%oftotal existing industrial buildings by 2035,Lettered action with quantified target and deadline.,sub,2. Enable buildingand personal vehicle electrification
16,parent_with_subs,sub,Pillar 4 | Strategy 2. Enable building and personal vehicle electrification,Buildings,Electrify 10% of total existing commercial buildings by 2035.,"Pillar 4 Strategy 2: Enable building and personal vehicle electrification with policy support for electrified renovations/new construction and electrification targets across building types, plus expanded EV charging infrastructure.",D. Electrify 10%of total existing commercial buildings by 2035,Lettered action with quantified target and deadline.,sub,2. Enable buildingand personal vehicle electrification
16,parent_with_subs,sub,Pillar 4 | Strategy 2. Enable building and personal vehicle electrification,Buildings,Electrify 90% of total existing City-owned buildings by 2035.,"Pillar 4 Strategy 2: Enable building and personal vehicle electrification with policy support for electrified renovations/new construction and electrification targets across building types, plus expanded EV charging infrastructure.",E. Electrify 90%oftotal existing City-owned buildings by 2035,Lettered action with quantified target and deadline.,sub,2. Enable buildingand personal vehicle electrification
17,individual,individual,Pillar 4 | Strategy 2. Enable building and personal vehicle electrification,Transport,"Enable 2,500 new public passenger electric vehicle charging stations by 2035.",,"Enable 2,500 new public passenger electric vehicle charging stations by 2035",Quantified infrastructure target with deadline; presented as an action in the narrative table and action text.,individual,
18,parent_with_subs,parent,Pillar 4 | Strategy 3. Align building codes and standards with climate best practices,Buildings,"Pillar 4 Strategy 3: Align building codes and standards with climate best practices, including strengthening policies for green roofs/walls and enabling net-zero-carbon construction.",,"4 Drive equitable development of Chicago's cleanenergy future | 3. Align building codes and standards with climate best practices | A. Strengthen policies that support installation of green roofs and walls, tree planting, and other vegetative cover by 2023 B. Enable net-zero-carbon construction by 2040",Named strategy with lettered actions and deadlines.,parent,
18,parent_with_subs,sub,Pillar 4 | Strategy 3. Align building codes and standards with climate best practices,Buildings,"Strengthen policies that support installation of green roofs and walls, tree planting, and other vegetative cover by 2023.","Pillar 4 Strategy 3: Align building codes and standards with climate best practices, including strengthening policies for green roofs/walls and enabling net-zero-carbon construction.","A. Strengthen policies that support installation of green roofs and walls, tree planting, and other vegetative cover by 2023",Lettered action with explicit deadline.,sub,3. Align building codes and standards with climate best practices
18,parent_with_subs,sub,Pillar 4 | Strategy 3. Align building codes and standards with climate best practices,Buildings,Enable net-zero-carbon construction by 2040.,"Pillar 4 Strategy 3: Align building codes and standards with climate best practices, including strengthening policies for green roofs/walls and enabling net-zero-carbon construction.",B. Enable net-zero-carbon construction by 2040,Lettered action with explicit deadline.,sub,3. Align building codes and standards with climate best practices
19,parent_with_subs,parent,Pillar 4 | Strategy 4. Decommission fossil power,Energy,Pillar 4 Strategy 4: Decommission fossil power by developing a fossil-fuel plants transition strategy by 2024.,,4 Drive equitable development of Chicago's cleanenergy future | 4. Decommission fossil power | A. Develop a fossil-fuel plants transition strategy by 2024,Named strategy with at least one time-bound action; structured as strategy/action.,parent,
19,parent_with_subs,sub,Pillar 4 | Strategy 4. Decommission fossil power,Energy,Develop a fossil-fuel plants transition strategy by 2024.,Pillar 4 Strategy 4: Decommission fossil power by developing a fossil-fuel plants transition strategy by 2024.,A. Develop a fossil-fuel plants transition strategy by 2024,Lettered action with explicit deadline.,sub,4. Decommission fossil power
20,parent_with_subs,parent,Pillar 4 | Strategy 5. Enable interconnection and storage,Energy,"Pillar 4 Strategy 5: Enable interconnection and storage by ensuring 150 MW of energy storage by 2025 and expanding energy demand reduction targets (1,000 MW by 2030; 3,000 MW by 2040).",,"4 Drive equitable development of Chicago's cleanenergy future | 5. Enable interconnection | A. Ensure 150 megawatts of energy storage by 2025 B. Encourage 1,000 megawattsofnewenergydemand reduction by 2030, and 3,000 megawatts by 2040","Named strategy with multiple quantified, time-bound actions.",parent,
20,parent_with_subs,sub,Pillar 4 | Strategy 5. Enable interconnection and storage,Energy,Ensure 150 megawatts of energy storage by 2025.,"Pillar 4 Strategy 5: Enable interconnection and storage by ensuring 150 MW of energy storage by 2025 and expanding energy demand reduction targets (1,000 MW by 2030; 3,000 MW by 2040).",A. Ensure 150 megawatts of energy storage by 2025,Lettered action with quantified MW target and deadline.,sub,5. Enable interconnection
20,parent_with_subs,sub,Pillar 4 | Strategy 5. Enable interconnection and storage,Energy,"Encourage 1,000 megawatts of new energy demand reduction by 2030, and 3,000 megawatts by 2040.","Pillar 4 Strategy 5: Enable interconnection and storage by ensuring 150 MW of energy storage by 2025 and expanding energy demand reduction targets (1,000 MW by 2030; 3,000 MW by 2040).","B. Encourage 1,000 megawattsofnewenergydemand reduction by 2030, and 3,000 megawatts by 2040",Lettered action with quantified MW targets and deadlines.,sub,5. Enable interconnection
21,parent_with_subs,parent,Pillar 5 | Strategy 1. Collect relevant data,Cross-sector,"Pillar 5 Strategy 1: Collect relevant data including reporting energy burden by community area, developing a water and soil quality measurement and mitigation strategy, and establishing an outdoor air quality monitoring network.",,5 | 1. Collect relevant data | A. Report energy burden by community area by 2023 B. Develop a water and soil quality measurement and miti- gation strategy by 2023 C. Establish a robust outdoor air quality monitoring network by 2025,"Named strategy with lettered, time-bound monitoring/reporting actions.",parent,
21,parent_with_subs,sub,Pillar 5 | Strategy 1. Collect relevant data,Cross-sector,Report energy burden by community area by 2023.,"Pillar 5 Strategy 1: Collect relevant data including reporting energy burden by community area, developing a water and soil quality measurement and mitigation strategy, and establishing an outdoor air quality monitoring network.",A. Report energy burden by community area by 2023,Lettered action with explicit deadline.,sub,1. Collect relevant data
21,parent_with_subs,sub,Pillar 5 | Strategy 1. Collect relevant data,Cross-sector,Develop a water and soil quality measurement and mitigation strategy by 2023.,"Pillar 5 Strategy 1: Collect relevant data including reporting energy burden by community area, developing a water and soil quality measurement and mitigation strategy, and establishing an outdoor air quality monitoring network.",B. Develop a water and soil quality measurement and miti- gation strategy by 2023,Lettered action with explicit deadline.,sub,1. Collect relevant data
21,parent_with_subs,sub,Pillar 5 | Strategy 1. Collect relevant data,Cross-sector,Establish a robust outdoor air quality monitoring network by 2025.,"Pillar 5 Strategy 1: Collect relevant data including reporting energy burden by community area, developing a water and soil quality measurement and mitigation strategy, and establishing an outdoor air quality monitoring network.",C. Establish a robust outdoor air quality monitoring network by 2025,Lettered action with explicit deadline and specific intervention (monitoring network).,sub,1. Collect relevant data
